ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall515014864_10121;https://vk.com/id515014864?w=wall515014864_10121;https://vk.com/id515014864;https://vk.com/id515014864;2024-02-13 10:49;"Мамина шкатулка   Как думаешь, что там? — Маня ковыряла в носу, никак не реагируя на Дашу, которая закатывала глаза, выражая своё недовольство ""гадкой привычкой"" сестры.  — Не знаю, может, деньги? — задумчиво протянула Лера.  — Откуда? — прищурилась старшая из сестёр Катя. — У нас их вечно не хватает.  — Поэтому и не хватает, мама их в ту шкатулку прячет, — авторитетно заявила Даша и стукнула Маню по рукам: — Перестань!   Маня, которая выуживала самую большую козу, обиженно надула губы.  — Не стала бы мама от нас деньги прятать! — прогундосила она. — Там что-то другое.   Девочки замолчали. Каждая обдумывала, что могло находиться в большой деревянной шкатулке, которую сегодня случайно увидели у мамы в комнате. Они ввалились к ней вчетвером сразу после школы раньше на целый час, потому что последние уроки отменили. Маня сразу заметила необычный предмет на кровати возле годовалой сестренки Любы, и, бесцеремонно отпихнув малышку, схватила тяжелую шкатулку и тут же получила подзатыльник от Кати.  — А ну, дай-ка сюда!   — Ещё чего, я первая увидела! — запротестовала Маня. Завязалась потасовка, Люба заревела, что никак не отвлекло девчонок от драки.   Близнецы Лера с Дашей стояли на пороге, с любопытством хлопая глазами и теребя косички, когда раздался строгий мамин окрик:  — Тихо! Любку мне напугали, хулиганки! Почему не в школе?   Мама вытянула шкатулку из-под девочек, заперла её маленьким ключиком и спрятала на верхнюю полку книжного шкафа, так что ее стало совсем не видно. Поэтому никто до сих пор не знал о её существовании — ни один из девяти детей семейства не интересовался книгами. Не считая Витьки, но он был ещё слишком мал, чтобы лазить на верхние полки.   — Мам, что там? Покажи! — заныли в унисон близняшки.   — Нет, — устало ответила мама, беря на руки ревущую Любку. — Это моя шкатулка, и я вам запрещаю в неё заглядывать! Всё узнаете в своё время. Так почему вы не в школе?   Девочки наперебой принялись рассказывать про отмененный урок, Даша попутно жаловалась на живот, Лера пыталась выпросить денег на конфеты, а Маня не сводила глаз с загадочной полки с маминой шкатулкой.  — Девочки, Люба спать собиралась, пока вы не ворвались, как ураган, — остановила бесконечную болтовню мама, устало усаживаясь на кровать. — Идите чай попейте, там папа пирог привёз, а я пока Любашу уложу, хорошо? Не шумите только!   Новость про пирог ненадолго отвлекла девчонок от шкатулки, но чуть позже, не дождавшись маму, которая наверняка уснула вместе с Любой, девочки принялись рассуждать, что прячет мама на заветной полке.  — А может, там драгоценности? Старинные какие-нибудь, — крутясь перед зеркалом, сказала Даша. — Или брильянты.   — Ага, брильянты, — засмеялась Катя, — у нас крыша протекает, а у мамы брильянты.  — Ну а что тогда? Я теперь не засну от любопытства, — заявила Лера. — Надо отвлечь маму и достать шкатулку!   — Да, точно! — загалдели девчонки. Когда дело касалось приключений или проделок, никого, кроме заучки Витьки, не надо было просить дважды.   — Только как? Мама теперь вечно в спальне с Любашей, только когда нас нет, оттуда выходит, — пожаловалась Маня.  — Нехорошо так говорить, но иногда мне хочется, чтобы Любаша не рождалась, — Катя потерла нос, искоса наблюдая за сестрами.   Воцарилось недолгое молчание, а потом Даша осторожно ответила:  — Я тоже так иногда думаю. Раньше мама всегда была с нами, а теперь её почти не видно. Как будто у неё только Любаша есть, а нас нет. И Сева! Всё-то ему можно, везде он главный!   — Сева же старший, ему так положено. Интересно, а он знает про шкатулку? — перебила Маня: — И всё-таки, что же мама там прячет? Может, прогуляем завтра школу и тихонько в окно залезем?   Пока девочки обсуждали планы, с тренировок, школы и сада вернулись мальчишки, а потом и папа. Дом сразу напомнил жужжащий рой. Отложив план захвата шкатулки на потом, девочки побежали на кухню, пока Сева не раскричался.   В обязанности Севы, кроме многого другого, входила и готовка, но помогать ему должны были все. Особенно девочки, на этом он строго настаивал.  — Вам потом замуж выходить, должны уметь готовить, — ворчал он, когда девочки возмущались, что чистить картошку ужасно скучное и несправедливое занятие.   — А тебе тоже замуж выходить? Ты ведь готовить умеешь, а Лëшу с Витькой, как нас, не заставляешь! — кричали девочки.   — Это другое, ну-ка цыц мне!   И девочки делали цыц. С Севой не забалуешь. Как мама Любкой забеременела, Сева будто постарел на пять лет и стал совсем как папа. “Взрослый, видите ли”, — ворчали младшие. Только в отличие от Севы, папа был добрый, а брат не всегда, мог и накричать, и подзатыльник отвесить. И там не смотрел, девочка или мальчик, заслужил, так получай.  Сегодня Сева готовил плов. Леша с Витькой резали морковь, Даша с Лерой чистили рис, Сева резал мясо, а папа возился с Любашей, пока мама отдыхала в комнате. Младшим Денису и Мане поручили салат, а Катя расставляла тарелки, и скоро вся семья, кроме мамы, сидела за столом, дружно уплетая вкусный ужин и обмениваясь нехитрыми новостями. Папа, по обыкновению, поговорил с каждым понемногу, а потом ушел к маме, прихватив для неё поднос с едой. Она уже долгое время не сидела с ними как раньше, и вечерами оставалась в комнате одна.   Сева взял Любашу и ушел с ней в гостиную, поручив остальным уборку и мытьё посуды. Потом он отдаст Любу папе, а сам пойдет заниматься.   — Вот бы там всё-таки лежали деньги, тогда бы мы купили посудомойку или наняли бы уборщицу, — вытирая тарелки, вернулась к загадке Маня.   — Или бы купили новый дом, побольше, чтоб у всех своя комната была! — подхватила Даша.   — Размечталась! Нам бы тогда замок нужен был. А в замках живут принцессы, а у принцесс бывают украшения! Там точно украшения. Что еще можно прятать в такой красивой шкатулке?   — В какой ещё шкатулке? — навострил уши Витька, бросив подметать пол.   — У мамы есть, на верхней полке. Она там прячет сокровища!   — Как у пиратов? Золотые монеты? Сева! Мама была пираткой? — заорал он.   Лера подскочила к брату и закрыла ему рот ладошкой, но было поздно, Сева уже вошёл на кухню с орущей Любкой на руках, и встал в дверях, хмуро глядя на шумную компанию.   — Сева! У мамы сокровища пиратов в шкатулке! — отталкивая Леру, затараторил Витя. — А ты видел? Можно я попрошу у мамы посмотреть?   Витя вдруг замолчал, и в комнате стало очень тихо, даже Любка перестала орать. Сева ТАК смотрел на ребят, что все они застыли, предчувствуя бурю.  — Как вы узнали про шкатулку? — очень тихо спросил он.   Никто не ответил. Только Любаша попробовала было зареветь, но сразу замолкла.  — Как вы узнали? — так же спокойно и тихо повторил Сева.   — Мы нечаянно, увидели днём у мамы, — пробормотала Маня. — Мы не заглядывали, не знаем, что там.   Сева обвел всех долгим взглядом, перехватил поудобнее Любку и сказал:  — Чтобы никто из вас не смел трогать эту шкатулку. Понятно?   Дети дружно кивнули, и только когда Сева выходил, Маня решилась спросить:  — А что там, Сева? Ты знаешь?   Брат как-то ссутулился, вздохнул и ответил только переступая порог:  — Там сокровища. Для всех нас. Но они не на сейчас, на потом. Когда-нибудь попозже.   — Точно говорю, я сегодня умру от любопытства, — убедившись, что ни Сева, ни Витя не слышат, шепнула Лере Даша.   Сестра солидарно кивнула, и девочки вздохнули в унисон. Про то, чтобы добыть шкатулку, можно было забыть. Севу нельзя было не слушаться.   Полночи сестры обсуждали возможные варианты содержимого шкатулки, а утром делились снами о свалившихся на дом миллионах, бриллиантах и десятикомнатных замках с драгоценностями.  А через месяц мамы не стало. Никто тогда не вспомнил о шкатулке. Дом вдруг стал слишком большим, слишком пустым и слишком тихим. Папа совсем не разговаривал, Сева сжимал губы с каждым днем все сильнее, а Витя не вылезал из кровати. Только Любаша кричала и плакала не переставая. Сева уже не пытался её успокоить. Он только ходил по дому с малышкой под мышкой, по привычке говорил, что и кому делать, и тер и без того красные глаза.   А через три дня после похорон он сел в кресло, выпустив Любашу из рук, и затрясся, прикрыв лицо руками.   * * *  После смерти мамы прошёл год. Папа теперь всегда был дома. Он занимался готовкой, следил за порядком и выступал судьей в детских конфликтах вместо Севы. Старший брат поступил в институт и дома бывал только на каникулах. Но в мамин день рождения он тоже приехал.   За столом было непривычно тихо. Папа с Севой приготовили все любимые мамины блюда, папа купил торт-мороженое и изо всех сил старался быть веселым. Но шутки затихали, не найдя отклика, а слова вязли в воздухе.   После молчаливого ужина дети принялись убирать со стола. В сердце каждого было много слов, но ни одно из них не находило выхода.   — Сева, — тихо позвала брата Маня, — а теперь можно посмотреть на мамины сокровища?   Сева несколько раз моргнул, прежде чем кивнуть. Он вышел из кухни и почти сразу вернулся, неся в руках заветную шкатулку.   Девочки застыли, вспоминая маму в тот день, когда впервые увидели шкатулку. Никто из них тогда не думал, что этот день один из немногих, что остались у мамы. Никто не сказал им, что мама сильно больна и скоро её не станет. Никто не сказал, что настоящие сокровища были в тех минутах рядом с мамой.   Сева поставил шкатулку на стол и открыл её ключом из своей связки. Получается, мама доверила ему свою тайну. Как доверяла всё остальное.   В шкатулке лежали письма. Десять пухлых конвертов, подписанных маминой рукой. Для каждого из них, даже для Любаши.   ""Любимая моя доченька..."" — прочитала Маня начало своего письма. В груди стало тесно, а в глазах горячо. Она посмотрела вокруг и увидела сокровища — у каждого в глазах стояли слезы. Каждый беззвучно шептал слова, предназначенные мамой для него. Только Любаша играла с куклой, безразличная к бумажкам, не имеющим для неё смысла. Пока не имеющим. Скоро она подрастёт и получит свою долю маминого сокровища, свою частичку огромной маминой любви.";2;0;0;2;;Тата Майская;182
https://vk.com/wall719827005_8666;https://vk.com/id719827005?w=wall719827005_8666;https://vk.com/id719827005;https://vk.com/id719827005;2024-02-13 10:45;🔥🔥🔥БРОНИРУЕМ🔥🔥🔥  ❤️‍🔥НАБОР ДЕТСКОЙ ПОСУДЫ❤️‍🔥  Цена 900₽ Комплект детской посуды выполнен из высококачественной керамики и декорирован красочным и ярким рисунком.  Набор посуды включает в себя: - суповую тарелку 400 мл, - обеденную тарелку 17см, - кружку 200мл.  Посуду для детей можно мыть в посудомоечной машине и использовать в СВЧ.  ‼️ДОСТАВКА ПО ГОРОДУ БЕСПЛАТНО‼️;0;0;0;16;;Юлия Тихвин;3290
https://vk.com/wall15603537_13273;https://vk.com/id15603537?w=wall15603537_13273;https://vk.com/id15603537;https://vk.com/id15603537;2024-02-13 10:44;Я ещё понимаю, что губернатору Амурской области положено китайский знать хотя бы капельку. Но зачем мэру Невинномысска из Ставрополья так подлизываться к китайцам. Или это просто холопская привычка за барином тарелки облизывать?😉  Губернатор Амурской области Василий Орлов и мэр Невинномысска в Ставропольском крае Михаил Миненков распространили свои поздравления с восточным Новым годом на китайском языке.  Оба опубликовали свои обращения накануне и в день празднования китайского Нового года. Глава Амурской области выложил в своем телеграм-канале видео, где он говорит на китайском языке. Свое обращение амурский губернатор посвятил «укреплению сотрудничества между странами» и сближению Благовещенска с Хэйхэ, расположенном на другой стороне Амура.   «Мы настолько близко, что, когда на набережной китайского Хэйхэ включают музыку, её слышно в столице региона. Наши города стремятся стать ближе — указатели и вывески магазинов Благовещенска и Хэйхэ печатаются на двух языках, а в школах и детских садах Приамурья изучают китайский язык», — отметил, в частности, Орлов.  Мэр со Ставрополья Миненков выложил в своем телеграм-канале текстовое поздравление с китайским Новым годом на двух языках — первая часть поста содержит русскоязычный текст, вторая написана иероглифами.   «Поздравляю вас с Китайским Новым годом! Желаю, чтобы символ года принес вам счастье, достаток и здоровье. Чтобы вы всегда были жизнерадостными и бодрыми!» — поздравил градоначальник своих земляков.  Как сообщалось, президент РФ Владимир Путин объявил Годами культуры России-Китая 2024-й и 2025 год😨. В регионах прошло масштабное празднование китайского Нового года. Телеканал НТВ сообщил, что в Москве так широко праздник ранее не отмечался.  Подробнее: https://eadaily.com/ru/news/2024/02/12/v-rossii-gubernator-i-mer-v-dvuh-regionah-zagovorili-po-kitayski;0;0;0;0;;Татьяна Меер;1104
https://vk.com/wall-37281952_88635;https://vk.com/club37281952?w=wall-37281952_88635;https://vk.com/club37281952;https://vk.com/club37281952;2024-02-13 10:41;🥰РАСПРОДАЖА 🤑ВСЕГО 875₽ 😱ДО 13.02 ДО 23:00 ❤️‍🔥НАБОР ДЕТСКОЙ ПОСУДЫ❤️‍🔥 Комплект детской посуды выполнен из высококачественной керамики и декорирован красочным и ярким рисунком.  Набор посуды включает в себя: - суповую тарелку 400 мл, - обеденную тарелку 17см, - кружку 200мл.  Посуду для детей можно мыть в посудомоечной машине и использовать в СВЧ.;1;2;1;10;;"Шоурум ""VASILISA_STYLE"" Тюмень";13920
https://vk.com/wall-82544098_673444;https://vk.com/club82544098?w=wall-82544098_673444;https://vk.com/club82544098;https://vk.com/club82544098;2024-02-13 10:40;Электроконвектор настенный ETALON , полностью рабочий! 1600 рублей  Массажная ванночка для ног 700 рублей Валенки детские размер 24, 700 рублей  Зимний конверт в коляску 800 рублей  Стол компьютерный 1000 рублей Чайный сервиз 1300 рублей Зимние сапоги для мальчика размер 24-25 , 550 рублей Зимние сапоги для мальчика чёрные размер 27, 500 рублей Тарелки 6 штук, 700 рублей  #техника;0;0;0;58;;Барахолка в Дмитрове;41538
https://vk.com/wall515014864_10115;https://vk.com/id515014864?w=wall515014864_10115;https://vk.com/id515014864;https://vk.com/id515014864;2024-02-13 10:34;ИВАНОВНА.  Пять лет назад Катя с мужем и дочкой переехали в пятиэтажку на окраину города. Такие дома у нас называют «хрущёвками». Планировка квартир не совсем удачная – метраж довольно скромный, комнаты и кухня маленькие, санузлы совмещённые.  Переезду предшествовало очередное недоразумение со свекровью. На семейном совете «молодые» решили снять однокомнатную квартиру -  на лучшие жилищные условия денег у них не было, но Катя радовалась, пусть и временному, но своему углу. Прожив с родителями мужа три с половиной года под одной крышей и испив сполна чашу своего терпения, она пришла к выводу, что для сохранения собственной семьи просто необходимо жить отдельно. К сожалению, Юра не видел в этом никакой проблемы –  родительская квартира находилась в десяти минутах ходьбы от его работы, к тому же можно было понемногу откладывать средства на покупку собственного жилья. То, что Татьяна Сергеевна её невзлюбила, Катя знала, вернее, ей пришлось прочувствовать её негативное отношение, как говорится, на своей шкуре.Уж как девушка хотела понравиться своим новым родственникам! Подарки дарила, выполняла всю домашнюю работу, квартиру вылизывала, собаку выгуливала, старалась всем угодить, да всё было напрасно!Кате казалось, что Татьяна Сергеевна её ненавидит – а может ли быть иначе? Её единственный сыночек женился на паршивой девчонке, приехавшей учиться в университете из маленького провинциального городка, в котором даже трамваев нет! А вдруг эта девица захочет отхапать у них квартиру?  При первой встрече с будущей невесткой Татьяна Сергеевна злобно взглянула на девушку своего сына из-под очков и произнесла коронную фразу, которая надолго засела у Кати в голове: - Юрочка, сынок, ты что, хочешь меня раньше времени свести в могилу? Она тебе не пара! Слышишь? Одумайся! Но Юра был по уши влюблён в девушку и отступать не хотел – слишком долго он добивался её расположения. Катя - первая красавица на курсе, и, ко всем своим достоинствам, умеет внимательно слушать, к тому же, интересы её не ограничиваются разговорами о модных шмотках и украшениях. Этим она его и зацепила.Вскоре после свадьбы у Юры с Катей родилась дочь Полина. В первый год своей жизни девочка часто болела – её то животик беспокоил, то зубки резались, из-за чего она плохо спала по ночам. Даже родить нормального ребёнка не смогла – упрекала свекровь невестку – плохо ухаживаешь за внучкой! Вот почему она у тебя на руках плачет? Говорила я Юрочке, чтобы не женился на тебе, да ведь не послушал меня! Вот и результат! Неблагодарная! Живёшь на всём готовом, да ещё и нос воротишь! Катя росла без отца. Он умер, когда ей исполнилось семь лет. Больше выходить замуж её мама не стала – не хотела травмировать своих дочек.Обнимая, она часто говорила им:Я пожертвовала своей личной жизнью ради вас, мои дорогие. Не могу же я допустить, чтобы вас воспитывал чужой человек! Полюбить, так как я вас люблю, у него не получится, да ещё, не дай Бог, станет обижать вас. Вот когда вы станете самостоятельными, я, может быть, и устрою свою судьбу. Стоит заметить, что близких отношений в их семье не было и особого тепла по отношению к себе Катя не испытывала.  Когда Катя и её сестра Светлана вышли замуж, мама продала квартиру и переехала жить в другую страну, где и нашла своё женское счастье.  С подругами, мамой и сестрой молодая женщина виделась не часто, но она не расстраивалась, а всё своё внимание уделяла любимому мужу и дочке. Когда Полине исполнилось четыре года и её отдали в детский сад, Катя устроилась в небольшую компанию по производству кондитерских изделий. Женщине нравилась работа экономистом, да и лишней её зарплата в доме не была.   Катина семья жила, впрочем, как живут многие: работа –дом, дом-работа. Изредка в гости приезжали родители Юры и общались с внучкой, после чего Катюша с мужем наносили им ответные визиты. Особой отдушиной для Кати были прогулки с Полиной на детской площадке.  Оторвавшись от книги, женщина наблюдала за жильцами своего дома. На первом этаже во второй квартире обитала её приятельница Оля. Их дети вместе катались на качелях и возводили на песке высокие замки и подземные туннели. На третьем этаже жила семья алкоголиков – Люся и Сергей. Они вообще никогда не просыхали. Летом супруги выносили на балкон клетку с попугаями, и вся улица просыпалась по утрам от их звонкого чириканья. Дверь в дверь с ними на площадке, в трёхкомнатной квартире жила шумная многодетная семья. Сколько точно у них было детей? Катя не знала - может пять, а может и семь. Сосчитать малышей у неё не получалось – в цыганской семье часто гостили многочисленные родственники и знакомые. В конце месяца, когда улетучивались последние копейки и кормить детей и неубывающих гостей было не за что, бойкая соседка ходила по квартирам и побиралась. Дайте копеечку, хлебушек и молоко куплю детям – просила она – деньги закончились, а ещё как-то нужно протянуть до выплаты пособия. Спасибо, пусть вас Бог благословит за вашу щедрость. - Интересно, как можно жить, не имея работы и толком ничем не занимаясь? И не унывают ведь никогда – недоумевала Катя.Но у смуглых соседей всегда получалось быть весёлыми и гостеприимными, несмотря ни на что. Они не раз угощали Полинку конфетами и пряниками, а она дарила их детям свои игрушки.На пятом этаже жила чета интеллигентов – Тамара Львовна преподавала математику в транспортном колледже, а Максим Игоревич занимал должность декана в том же учебном заведении. Супруги чинно здоровалась, в распри с соседями не вступали и держались на большом расстоянии от жителей своего дома. В двухкомнатной проходной квартире на четвёртом этаже обитала одинокая старушка. Все называли её «Ивановна». Каждый день, не взирая ни на какую погоду, пожилая женщина, с трудом опираясь на трость, выползала на улицу. За покупками в магазин она ходила с небольшим рюкзаком на спине. На скамейке у подъезда сидела тихо, никого не обсуждала, иногда переговаривалась со своими подругами, такими же божьими одуванчиками, как и она. Летом Ивановна выходила во двор с клубками шерсти и спицами и сосредоточенно вязала. Голубей подкармливала хлебом, а собак и котов угощала кашей и куриными косточками. Бесцветная какая-то бабулька – рассуждала про себя Катя – не улыбается, с вопросами не пристаёт, да и помощи не просит. Даже в гололёд сама выходит за кефиром, видимо, ничего не боится или слишком гордая. Странная она Сын старушку посещениями не баловал. Он приезжал на чёрном Лексусе, заносил в квартиру пакеты с продуктами и лекарствами. Отсидев у матери протокольный час, и, тяжело вздохнув, он выходил из подъезда, утирая рукавом мокрые глаза Как-то раз, придя со школы, Полина не обнаружила в кармане кутки ключей от квартиры. Девочка ходила во второй класс, а на продлёнку оставаться не хотела. Телефон почему-то быстро разрядился и позвонить родителям она не могла. Небо словно сошло с ума – оно с сильным ветром посылало на землю огромные потоки воды. Осенний дождь, он такой - назойливый, холодный и пронизывающий до костей!  Девочка спряталась от стихии в подъезде, для того, чтобы окончательно не промокнуть. Подложив под себя ранец, она сидела на ступеньках возле своей закрытой двери и уже собиралась заплакать.Полиночка! Что ты тут делаешь, деточка? Что случилось? – услышала школьница. Это по лестнице, охая, с неизменным рюкзачком за плечами, поднималась Ивановна.Ключ от квартиры где-то делся, а мама и папа на работе – всхлипывая, ответила девочка.Так позвони и предупреди родителей, что ты ключ потеряла и не можешь попасть в квартиру. Не могу, телефон разрядился. Понимая, что ей сегодня влетит от родителей, Полинка совсем поникла. - Не плачь, дорогая! Пойдём ко мне домой, я тебя чаем с вареньем угощу, а то замёрзнешь здесь. Не дай Бог, заболеешь ещё – заботливо сказала Ивановна. - Мама не разрешает мне ходить по гостям. Она меня потом накажет – ответила Полина и растерянно посмотрела на старушку.А давай вот, что мы с тобой сделаем. Ты помнишь наизусть номер телефона мамы или папы? Не помню, хотела выучить, но потом как-то не получилось – Поля уже всхлипывала. Вот незадача! Ага! Ну-ка покажи мне свой телефон – кряхтя, попросила девочку Ивановна. - Вот здорово, и у меня такой же! – радостно воскликнула старушка, взглянув на мобильный девчушки. - Поднимемся ко мне домой и зарядим твой сотовый, а и ты маме всё расскажешь. Не бойся, мама бранить тебя не станет, она добрая – заверила старушка девочку.Через пол часа, зарядив телефон и объяснившись с мамой, довольная Полина сидела у Ивановны за столом и за обе щёки уплетала молочную тыквенную кашу. Потом она с удовольствием смела с тарелки пирожки с яблочной начинкой. Прихлёбывая, она запивала их чаем, не забывая ложечкой доставать из банки малиновое варенье.Оказалось, что Ивановна не такая уж и нелюдимая, как Полинке раньше казалось.Давай вместе выполним домашние задания – предложила старушка, бережно укрывая девчушку шерстяным пледом. Полинка послушно разобралась с уроками и решила все примеры по математике. Затем они с Ивановной выучили номера мобильных телефонов родителей девочки. Во и умница – поглаживая Полинку по голове, говорила Ивановна – ты так быстро с уроками справилась.Вечером, придя с работы, взволнованная Катя постучалась к соседке. Спасибо вам большое за помощь. Простите, я даже не знаю вашего имени, только отчество – смущённо сказала женщина. - Мен зовут Елена Ивановна, а ты, Полина, можешь называть меня бабушкой Леной – ответила Ивановна и пригласила Катю за стол.Это вам небольшой презент от чистого сердца – улыбаясь и протягивая пакет, где лежала пачка печенья, шоколадка и коробка конфет, сказала Катя.За разговорами два часа пролетели незаметно. Катя узнала некоторые подробности о жизни Елены Ивановны. Семь лет назад женщина овдовела, а до выхода на пенсию работала бухгалтером в ЖЭО. Сын Пашка с женой давно живут отдельно в центре города. Он всё зовёт её к себе, но Елена Ивановна решила, что пока она себя может обслуживать, надоедать им не будет. У сына и невестки с финансами всё хорошо, да только Бог детей им не дал. Уж сколько сын с невесткой не лечились, да всё без толку!   Такого ароматного чая умопомрачительного супа с зелёным горошком и вкусных пирогов, как оказалось, Катя никогда ещё не ела! Может, всему виной магия осеннего вечера да родство душ женщин, изголодавшихся по сердечному общению?  С тех пор Катя и Полина стали дружить с Ивановной – то закупят ей овощей на рынке и занесут в квартиру тяжёлые сумки, то в аптеку сходят, а то и коммунальные услуги в банке оплатят.  Женщины коротали вместе вечера - муж Кати в последнее стал регулярно ездить в командировки, и времени для общения с Еленой Ивановной у Кати было предостаточно.Частенько после школы девочка наведывалась к соседке. Вместе они учили уроки, пекли пироги, готовили разные соусы и лепили вареники, рецептов которых Елена Ивановна знала великое множество. После работы к ним присоединялась Катюша и просто наслаждалась идиллией, которая царила в небольшой квартирке Елены Ивановны. Всегда скромная и тихая, Полинка громко смеялась и играла в разные игры с мамой и бабушкой Леной. Старушка улыбалась, её испещрённое глубокими морщинами лицо излучало нерастраченную любовь, которой она делилась с дорогими её сердцу девочками.     Говорят, что люди становятся близкими постепенно, а чужими – мгновенно. Не поверите, но Елена Ивановна, Полина и Катюша за короткий промежуток времени стали друг для друга не просто близкими подругами, а родными людьми, так сказать, родственными душами. Вот только одно, что  беспокоило Катю - супруг к ней охладел. Он всё дольше задерживался на работе и его командировки становились уже почти постоянными. Катя отгоняла от себя мрачные мысли и подозрения, но шила в мешке не утаишь – чужие духи красноречиво говорили о том, что у Юры появилась другая женщина. Как раз в это же время Катя узнала, что ждёт ребёнка, но рассказать мужу о будущем пополнении в их семье она не успела. - Ты или совсем слепая, или дура – возвращаясь на рассвете из затянувшейся командировки, объявил Юра – у меня есть девушка. Я люблю её, люблю по-настоящему. Это дочь моего шефа. Я ухожу к ней. Права была моя мама, когда говорила, что ты мне не пара – вот почему я её не послушал? Хлопнув дверью, Юра ушёл. Пришлось Катюше стать для Полины и ещё не рождённого ребёнка единственной опорой – а куда деваться? Нужно жить дальше.Развод с супругом состоялся через три месяца. Верни мне обручальное кольцо – велел Юра, когда они с Катей вышли из загса. Побледнев от негодования и чуть не упав в обморок от подступившей к горлу тошноты, женщина с трудом стянула с отёкшего пальца злосчастное кольцо и бросила его на землю.Вот дрянь – закричал Юрий, поднимая кольцо – даже не хочешь оставить после себя хороших воспоминаний. Заруби себе на носу - кроме положенных по суду алиментов ничего больше от меня не получишь! И не вздумай соваться в дом к моим родителям и просить о помощи! Отныне будешь делать всё сама! Со своими переживаниями и бедами теперь Катя делилась со своей соседкой, она и помогла ей, беременной и беззащитной женщине, пережить болезненное расставание и не потерять при этом оптимизма.Твоя главная задача сейчас – быть сильной и сделать всё возможное, чтобы родить здорового малыша, а я верю, что так и будет. По всем признакам, у тебя будет сын – вытирая Кате слёзы, говорила Ивановна.    Вот только через два месяца Елена Ивановна сильно сдала. Проведя обследования, выяснилось, что она смертельно больна – у старушки оказался рак груди. Никакие лекарства ей не помогали, и она чахла прямо на глазах. Сын привозил врачей, они пробовали различные методики лечения, да всё было без толку – Ивановна быстро угасала и уже не могла вставать с постели.Катюша ухаживала за Еленой Ивановной. Она сама делала ей перевязки, кормила её, купала и убирала в квартире. Так продолжалось пять месяцев.Я хочу тебе кое-что показать – проснувшись после обезболивающего укола, сказала Кате Елена Ивановна – достань из комода синюю папку. Да, вот эту. Открой её и ознакомься с документами.В папке находился дарственная на квартиру Елены Ивановны. Она была оформлена на Катино имя. Не возражай – тихо сказала старушка и её лицо обезобразила гримаса боли – Костя привёз ко мне нотариуса, чтобы было всё по закону. У сына есть своё жильё и он ни в чём не нуждается. Ты для меня, как дочь, которую я похоронила двадцать три года назад. Привязалась я к тебе и к Полиночке. Обо мне ты заботишься, как о родном человеке, ты скрасила мои последние дни и помогла почувствовать себя нужной. Не перебивай меня, Катюша. Костик всё знает и претендовать на квартиру не будет, мы обо всём с ним договорились. Он так благодарен тебе за помощь! После моей смерти можешь сразу перебираться в свои законные апартаменты и жить здесь. Деточка, всё у тебя будет хорошо! Через неделю Елена Ивановна тихо умерла……Похоронив Елену Ивановну, Катя готовилась к рождению малыша.Роды, они всегда случаются неожиданно. Ночью у Кати начались схватки и отошли воды. Скорой долго не было, и женщина была вынуждена позвонить к соседям -алкоголикам.Дверь ей открыл Сергей. В руках у него была бутылка с пивом. - Извините, скорая всё не едет, а мне нужно в больницу – держась за живот, простонала Катя – дочь спит, я её не стала будить. Сестра сейчас гостит у мамы и мне не к кому обратиться. Постучите, пожалуйста, к Романовым, София мне обещала забрать к себе Полинку.Мужчина сразу протрезвел. - Сейчас, сейчас, потерпи немного, Катя – сказал он и побежал наверх по лестнице – я зайду к Соньке, да и машину найду. Через пять минут, застёгивая на ходу рубашку и резво перепрыгивая через ступеньку, выбежал Максим Львович. Взяв Катю под руку, он вывел её из подъезда и усадил в свою машину. - Хорошо, что я голубушку свою в гараж вчера не поставил. Как чувствовал, что она мне сегодня понадобится! –  всё приговаривал доцент – А ты, Катюша, не бойся, Тамара Львовна уже позвонила своей однокласснице, и она, о чудо, сейчас на смене. Так что примут нас сейчас в роддоме с распростёртыми объятьями.  А до утра с Полей моя супруга побудет, София её потом заберёт к себе, не переживай, она справится. В шесть часов утра у Кати родился сын Артёмка – здоровый розовощёкий мальчуган! Катюша была очень счастлива!Стоит ли говорить о том, что забирать из роддома Катю с сыном пришли почти все её соседи?Цыганка София держала за руку Полину, а её смуглые малыши преподнесли Кате шикарный букет цвет;1;0;0;16;;Тата Майская;182
