ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall-210495162_8246;https://vk.com/club210495162?w=wall-210495162_8246;https://vk.com/club210495162;https://vk.com/club210495162;2024-02-13 09:30;Набор детский посуда бамбуковый🔥🔥🔥Цена_250₽😱😱😱😱😱😱 Без выбора рисунок 😋😋 Выбирайте для вашего малыша лучшее. Например, чудесный детский набор бамбуковой посуды с веселыми зверями. Теперь суп или кашу придется съесть до конца. А как можно отказаться от второго, если оно подано в замечательной тарелочке с изображением бегемотика, ежика, собачки или другого интересного животного? Для удобства тарелка разделена на 2 части. Ложка, вилка и стаканчик тоже понравятся малышу. Они удобные и безопасные. Бамбук экологичен, не содержит вредных и токсичных веществ, ударопрочный. Посуда не теряет цвет, не впитывает запах. Ее легко помыть обычным детским средством. Детский набор эко посуды из бамбука отлично подойдет для начала прикорма и будет радовать ребенка дальше, когда он начнет есть сам. Посуда из бамбука/набор для комления малыша/ECO посуда для кормления/набор детской посуды. Такой набор детской посуды будет отличным подарком. Прослужит не один год, а может и перейдет по наследству. Рекомендован с 6 месяцев. Не желательно использовать в микроволновой печи. Категория даачи;1;8;0;143;;TV Товары Садовод  13/51*;13159
https://vk.com/wall-153692916_17446;https://vk.com/club153692916?w=wall-153692916_17446;https://vk.com/club153692916;https://vk.com/club153692916;2024-02-13 09:00;Набор детский посуда бамбуковый🔥🔥🔥Цена_250₽😱😱😱😱😱😱 Без выбора рисунок 😋😋 Выбирайте для вашего малыша лучшее. Например, чудесный детский набор бамбуковой посуды с веселыми зверями. Теперь суп или кашу придется съесть до конца. А как можно отказаться от второго, если оно подано в замечательной тарелочке с изображением бегемотика, ежика, собачки или другого интересного животного? Для удобства тарелка разделена на 2 части. Ложка, вилка и стаканчик тоже понравятся малышу. Они удобные и безопасные. Бамбук экологичен, не содержит вредных и токсичных веществ, ударопрочный. Посуда не теряет цвет, не впитывает запах. Ее легко помыть обычным детским средством. Детский набор эко посуды из бамбука отлично подойдет для начала прикорма и будет радовать ребенка дальше, когда он начнет есть сам. Посуда из бамбука/набор для комления малыша/ECO посуда для кормления/набор детской посуды. Такой набор детской посуды будет отличным подарком. Прослужит не один год, а может и перейдет по наследству. Рекомендован с 6 месяцев. Не желательно использовать в микроволновой печи. Категория даачи;1;9;0;224;;TV-Товары 13- линия - 51- павильон ТК Садовод;44350
https://vk.com/wall-216472633_1225;https://vk.com/club216472633?w=wall-216472633_1225;https://vk.com/club216472633;https://vk.com/club216472633;2024-02-13 08:58;Готов ли ваш ребенок к началу прикорма?🥄  Часть 2. Дополнение.  ВОЗ рекомендует начинать прикорм примерно в 6 месяцев.   ❕Для детей, родившихся раньше этот интервал может быть сдвинут на тот же срок.  Существует несколько признаков, готовности ребенка к приему пищи:  ✍️Координация рук  развита в такой степени, чтобы малыш мог донести еду до рта самостоятельно. Можно не ровно, главное сам факт.   ✍️Ребенок может сидеть с поддержкой. То есть тогда, когда его придерживает за спину взрослый, а малыш не заваливается. Умение сидеть самостоятельно не обязательно.  ✍️Удвоение веса при рождении и появление зубов - косвенные признаки. На них стоит ориентироваться в последнюю очередь.   ✍️Самый главное: ребенок проявляет пищевой интерес. Малыш интересуется тем, что едят в семье, хочет попробовать на вкус, пытается отобрать пищу. Может потом и не есть это, а просто попробовать.   🏷️Пищевой интерес формируется как навык слежения за действиями взрослого с трехмесячного возраста. Постепенно интерес от наблюдения переходит к желанию попробовать сделать также, как мама или папа. Поэтому чаще показывайте ребенку как вы едите, что в ложке, рассказывайте ему о процессе.;2;0;0;132;;Лилия Тугашёва/Консультант по ГВ;1851
https://vk.com/wall-48914652_10872;https://vk.com/club48914652?w=wall-48914652_10872;https://vk.com/club48914652;https://vk.com/club48914652;2024-02-13 08:19;🌸 Друзья!  Пока вы читаете пост про зубки и лечение под наркозом + мы еще разобрали почему важно ребенку вовремя вводить твердую пищу и не задерживаться на этапе пюрешек, у меня вопрос-опрос возник для тех, кому актуальна тема введения прикорма.   👉 Я сейчас прохожу классное повышение квалификации по теме введения прикорма, разбираем блоки про новые подходы в этом вопросе (по старинке, с кабачка в 1/2 чайной ложке начинать и доводить до 100 грамм за неделю это уже не полезно, не модно и не современно. КРИНЖ, короче, как говорят мои подростки 😅)   ✅ В общем, у меня есть тут идеи курс по прикорму обновить + сделать отдельную тему про введение кусочков ребенку.  ❗ НО! силы буду тратить только если это актуально.   ❓Напишите в комментариях, какие вопросы в теме прикорма и питания ребенка вас волнуют? что получается, а что нет?;4;0;1;86;;Детский сон/кормление/воспитание: Уроки для мам;6033
https://vk.com/wall-223932562_171;https://vk.com/club223932562?w=wall-223932562_171;https://vk.com/club223932562;https://vk.com/club223932562;2024-02-13 05:52;"18 детских рецептов для детей от года =========================  🍓1.Рисовая каша с мясом: Ингредиенты: Мясо — 100 гр. Рисовая крупа — 3 ст.л. Масло сливочное — маленький кусочек. Соль — щепотка.  В таком варианте каша подойдет детям с 1 года. Дети в этом возрасте уже хорошо справляются с рисинками, а жевать красное мясо пока еще сложновато, поэтому его лучше перекрутить. Так же в кашу не добавляем никаких зажарок и лишней жирности. Для малышей из риса еще можно сварить сладкую кашу с черносливом или с тыквой и кабачком. Рецепт рисовой каши с мясом: 1. Продукты для каши: 100-150 гр. свежего мяса, 3 ст.л. риса, кусочек сливочного масла для заправки и соль. 2. Мясо отделить от пленок и нарезать. Чем мельче кусочки, тем быстрее они сварятся. 3. Отварить мясо до готовности. Около 1 часа. 4. Рис промыть. 5. Отварить на мелком огне до готовности. Варится он примерно 20 мин. 6. Готовые кусочки мяса перекрутить пару раз на мясорубке. 7. Смешать отварной рис с перекрученным мясом. Все вместе поварить минутки 3. 8. Заправить сливочным маслом и подать на стол. Приятного аппетита! На заметку: Для этой каши рис можно использовать цельнозерный или дробленый. Если ребенку удобнее кушать более мелкие кусочки, используйте рис-дробленку. Если ребенок благотворно относится к зелени, можете добавить ее в кашу. Для грудничков можно приготовить похожее блюдо, только с молоком в виде пюре.  🍓2.Запеканка из цветной капусты Ингредиенты: Цветная капуста — 1 чаша (или 2 стакана) Твердый сыр — 70 гр. Сухари — 1 ст.л. Молоко — 2 ст.л. Масло слив. — 1 ст.л.  Цветная капуста в отличие от белокочанной не вызывает аллергии, поэтому ее советуют готовить детям грудного возраста, в виде пюре. Детям от года можно уже не перемалывать, а просто отваривать в воде или в пароварке. Двухлетним деткам можно ее уже подавать в различных вариантах (вареная, тушеная, запеченная), одним из которых является запеканка из цветной капусты с сыром. Это простое и легкое овощное блюдо отлично подойдет в качестве второго блюда на обед или ужин. Запеканка из цветной капусты с сыром — Приготовление: 1. Цветную капусту промыть и разобрать на соцветия. Выложить в кастрюлю с водой, присолить и дать покипеть 7 минут. 2. А тем временем приготовим сырный соус. Для этого кусочек сыра нужно натереть на терке и добавить ст.л. сухарей. 3. Влить две столовые ложки молока. 4. Добавить ст. ложку мягкого (растопленного в микроволновке или просто подтаявшего в тепле) сливочного масла и все вместе перемешать. 5. Отварную цветную капусту опрокинуть на дуршлаг, чтобы стекла вода. После этого выложить капусту в форму с высокими краями и залить сверху сырным соусом. 6. Форму отправить в духовой шкаф, примерно на 15-20 мин., до образования румяной корочки. Подать к столу в теплом виде с зеленью.  🍓3.Творожное паровое суфле – нежное и изумительно вкусное блюдо для детей. Оно просто тает во рту! Для детей старше года в суфле можно добавить изюм и мармелад. С этими сладкими добавками творожное суфле получается еще вкуснее! Ингредиенты: творог – 600 гр. крупа манная – 1/2 стакана вода – 1 стакан сахар песок – 2 ст.л. сахар ванильный – 1/2 ч.л. масло сливочное – 2 ст. л. масло растительное – 1 ст.л. яйцо – 1 шт. изюм без косточек – 1/2 стакана сироп ягодный или фруктовый – 6 ст.л.  Количество мармелада нужно по вкусу и по желанию – для украшения блюда при подаче на стол. Творожное паровое суфле, рецепт: Для приготовления творожной массы потребуется кастрюля ёмкостью 3 литра. Манную крупу сварить на воде до получения густой каши. Снять с огня и остудить. Творог перетереть до однородной кашицеобразной массы, выложить в миску с манной кашей. Тщательно перемешать до получения однородной массы. Разбить яйцо, отделить белок от желтка. Сливочное масло подогреть до жидкого состояния. В полученную творожную массу добавить желток, вылить сливочное масло, высыпать сахар ванильный и сахар песок, добавить изюм. Полученную смесь снова тщательно перемешать. Для дальнейшего приготовления потребуются круглые 11.09.14 глубокие формочки. Смазать формочки растительным маслом и выложить в них подготовленную творожную массу. Поставить формочку в кастрюлю, залить воду и варить минут 15 -20. Снять формочки с пара. Остудить. Подавать можно в формах, если они имеют декоративный вид, либо продукт переложить по тарелкам. Перед подачей на стол суфле полить сиропом и поверх сиропа выложить мармелад для красоты и как приправу. Творожное суфле готово!  🍓4.Кабачковая запеканка Нежная, вкусная, нежирная, доступная запеканка- находка для ужина всей семьи Ингредиенты: 400 г кабачка, 100 г сыра, 2 яйца, 100 г сметаны, 0,5 ч л гашеной соды, 150 г муки, зелень, 0,5 ч л соли., перец.  Кабачок натереть, отжать хорошенько. Сыр очень мелко порезать или натереть, порезать зелень. Соду перемешать со сметаной, оставить на 5 мин, добавить яйца, соль, перец, взбить вилкой, всыпать муку, перемешать. Затем туда же выложить сыр, кабачок и зелень, смешиваем и вылива ем в форму небольшого диаметра (смазать). Запекать 40-50 мин при температуре 180 градусов.  🍓5.Суп пюре из цветной капусты Продукты: Соцветия цветной капусты — 20-25 соцветий Картофель — 4 шт. маленьких. Рис — 3 или 4 ст.л. риса. Сливки — 100 мл. (вместо сливок, можно добавить 2-3 ст.л. сметаны) Соль — повкусу Слив. масло — кусочек  Цветная капуста — диетический и полезный продукт. Свое название получила благодаря соцветиям напоминающим цветы. А вовсе не из-за разноцветной окраски, как можно подумать не видя и не зная этот продукт. Ее можно вводить в прикорм детям до года, в отличии от белокочанной. Потому что она более мягкая и не вызывает коликов в животе. Так же она помогает поддерживать стул в норме. Для первого прикорма подойдет просто пюре из цветной капусты, после чего можно попробовать пюре из капусты с морковью. А с 1-го года ребенку можно приготовить нежный сливочный суп пюре из цветной капусты и картофеля. Фото рецепт которого и размещен ниже. Приготовление супа пюре из цветной капусты: 1. Главным компонентом в данном супе является цветная капуста, поэтому ее берем немного больше, чем остальных продуктов. Так же приготовим картофель, рис, сливки, кусочек масла и соль. Если под рукой нет сливок, подойдет и сметана (примерно 3 ст.л.) Данного количества продуктов хватит на 5-6 порций. Если нужно меньшее количество, уменьшайте продукты пропорционально друг другу. 2. Цветную капусту разберите на соцветия. Картофель нарежьте мелкими кубиками. Выложите овощи в кастрюлю с водой и варите до готовности. Примерно 20-25 мин. 3. В отдельной кастрюле отварите рис. 4. Из кастрюли, в которой варились овощи, слейте отвар в стакан. Он нам еще пригодится. К отварным овощам добавьте отварной рис и пюрирйте блендером. 5. Должна получится такая однородная масса. Присолите ее по вкусу. 6. Добавьте кусочек сливочного масла и сливки. Перемешайте. 7. Суп-пюре приобретет такой светлый цвет. Регулируйте густоту супа самостоятельно. Если он кажется излишне густым добавьте овощного отвара, который слили ранее. 8. Маленьким детям суп лучше подавать как есть, без всяких добавлений. 9. А деткам постарше лучше подать суп пюре из цветной капусты с сухарями. В таком варианте больше шансов того, что блюдо будет съедено. Так же суп можно присыпать зеленью или листиками петрушки.  🍓6.Пудинг из курицы Ингредиенты: 1. Курица (мякоть) – 100 г 2. Хлеб пшеничный – 10 г 3. Масло сливочное – 1\2 ч. ложки 4. Молоко – ¼ стакана 5. Яйцо – 1 шт. 6. Раствор соли – ¼ ч. ложки Приготовление. Взять кусочек курицы без костей, промыть холодной водой, пропустить через мясорубку. Второй раз прокрутить через мясорубку вместе с белым черствым пшеничным хлебом, предварительно замоченным в 1 столовой ложке молока. Эту массу нужно протереть сквозь сито, развести с остальным молоком до густой кашицы. Потом добавить сырой яичный желток, раствор соли. Взбить в крепкую пену белок и тоже добавить, осторожно перемешав. Всю полученную массу выложить в небольшую кружку, густо смазанную маслом. Опустив кружку в кастрюлю, наполненную до половины крутым кипятком, накрыть кастрюлю крышкой, поставить на плиту и варить 40 минут. Мясные пудинги из курицы, телятины, печенки можно подавать с картофельным или овощным пюре.  7.СУП С ЯЙЦОМ 1. ½ луковицы, 2. 2 шт. картофеля, 3. 1 морковь, 4. 2 – 4 шт. перепелиных яиц 1. Почистим и помоем луковицу. Используем половинку, порежем ее мелкими кубиками. Помоем и почистим морковь, тоже порежем кубиками. 2. Моя старшая дочка больше любит тертую морковь, поэтому я чаще тру на крупную терку. 3. Почистим, помоем и нарежем кубиками картофель. 4. В кастрюлю наливаем 500-600 мл. воды (в зависимости от того какой суп любит Ваш малыш, более редкий, или густой). Доводим до кипения. Бросаем в кипящую воду лук с морковью. Если Вы делаете тертую морковь, тогда закладывайте только лук. Через 10 минут добавляем картофель. 5. Через 15 минут добавляем тертую морковь, если Вы не добавляли кубиками морковку. Еще можно добавить в суп немного детских макарон – 1 столовую ложку, если хотите более густой суп. 6. Не забудьте, что мы будем готовить не с вареным яйцом, а суп с сырым яйцом. Если Ваш ребенок любит более редкий суп, тогда берем 2 яйца, если густой, тогда 4. В мисочку разбиваем яйца и размешиваем вилкой. 7. Теперь осталось разобраться, как добавить яйцо в суп. Через 15- 20 минут после того, как положили в суп картофель, заливаем яйца. В кипящий суп очень медленно вливаем яйца, а вилкой тщательно размешиваем, чтобы получались мелкие хлопья. Доводим суп c яйцом до кипения и можно снимать с огня. Немного остужаем, наливаем в тарелку. Добавляем уже в тарелку нерафинированное масло, можно добавить отдельно сваренное мясо. Приятного аппетита!  8.Детские тефтельки Мясной фарш — 500 г. 1 яйцо 1 луковица Хлеб — 100 гр. Рис — 100 гр. Морковь — 1 шт. 0,5 стакана молока Соль по вкусу  1. Фарш смешиваем с мелко нарезанным луком и протертой морковью. 2. Размачиваем в молоке хлеб и рис, немного отвариваем, смешиваем с фаршем 3. Добавляем в фарш яйцо, солим по вкусу 4. Лепим и варим тютельки на пару до готовности (это будет удобно сделать в мультиварке) В качестве гарнира отлично подойдут овощи, картофельное пюре или макароны. Для малышей постарше отличным дополнением будет соус к тефтелям. Его можно приготовить, обжарив лук и морковь с томатной пастой.  🍓9.Рыбный суп-пюре рыбное филе — 150 г (подойдет хек, семга, форель или минтай) 1/2 средней луковицы 1 небольшая морковка 1 средняя картофелина сметана соль и зелень по вкусу  1. Кладем филе в небольшую кастрюльку, заливаем водой (1,5-2 стакана), ставим на огонь, немного солим 2. Когда рыба сварится, откладываем ее на отдельную тарелочку, а бульон процеживаем. 3. Мелко нарезаем картофель и лук, а морковь натираем на мелкой терке, кладем вариться в бульон. Если покажется, что суп жидковат, можно добавить немного риса. 4. Когра овощи сварятся, снова добавляем рыбу и и измельчаем все блендером. 5. Подаем со сметаной и зеленью  🍓10.Картофельное пюре 100-120 г отварного горячего картофеля протереть через сито (можно использовать блендер), в полученную массу постепенно добавить, непрерывно помешивая, немного (до 20 мл) горячего кипяченного молока. Смесь взбить до получения однородной пышной массы. Пюре выложить на тарелку, полить растопленным сливочным маслом.  🍓11.Морковное пюре 100 г моркови вымыть, очистить, нашинковать, положить в кастрюлю, налить немного кипятка, добавить неполную чайную ложку сахара, прикрыть крышкой и поставить на небольшой огонь. Тушить 30-40 минут, помешивая и подливая понемногу воду, пока морковь не сделается мягкой. Затем горячую морковь протереть через сито, влить 1/4 стакана горячего молока, прокипятить. При подаче добавить 1/2 ч.л. сливочного масла.  🍓12.Тыква отварная Очищенную тыкву нарезать кубиками, выложить в кастрюлю, залить небольшим количеством кипящей воды, добавить немного соли и варить до готовности. Сваренную тыкву остудить до теплого состояния (можно смешать с другими овощами, фруктами или кашами), протереть через сито и предложить ребенку.  🍓13.Тыква, тушенная с яблоками 200 г мелко нарезанной очищенной тыквы выложить на сковороду, добавить 100-150 г очищенных и мелко нарезанных яблок, немного соли и 1-2 ч.л. сахара, 1-1,5 ч.л. сливочного масла, до 100 мл воды и тушить до готовности, после чего остудить до теплого состояния и протереть через сито. Готовое блюдо можно немного полить киселем.  🍓14.Овощное пюре ассорти Морковь и капусту, мелко нарезав, тушить под крышкой в небольшом количестве воды до полуготовности, добавить нарезанный картофель и все вместе тушить еще 30 мин. Затем овощи, включая и добавленный зеленый горошек, протереть в горячем виде, после чего к смеси добавить немного горячего молока и соли. Все хорошо размешать, довести до кипения и, сняв с плиты, взбить так, чтобы пюре было пышным и без комков. Готовое пюре заправить 1 ч.л. сливочного масла.  🍓15.Рисово-морковное суфле (при отсутствии аллергических реакций на яйца) Из 1 ст.л. перебранного и промытого риса сварить на воде слегка вязкую кашу. В нее добавить 1 ч.л. растопленного сливочного масла, 1/2 яичного желтка, растертого с 1 ч.л. сахарного песка в 25-30 мл кипяченного молока, 1/4-1/2 моркови, натертой на мелкой терке. Все хорошо перемешать и в полученную массу осторожно ввести 1/2 взбитого белка. Переложить в смазанную маслом формочку и поместить на 35-40 мин на водяную баню (на решетку в кастрюле с кипящей водой). Могут быть также другие варианты суфле из овощей и круп: из манной крупы, из тыквы и кабачков (2 ст.л. тертых овощей вместо моркови).  🍓16.Омлет, фаршированный мясом Ингредиенты: 50 г вареного молотого мяса 1 яйцо 1/2 кофейной чашки молока кусочек масла величиной с лесной орех 1 ст. ложка протертых вареных овощей из супа зелень петрушки 1 ст. ложка томатного сока  Яичные желтки растереть с солью и маслом, добавить взбитый в пену белок.Кастрюльку смазать маслом, вылить в нее взбитые яйца, погрузить ее в другой сосуд с водой, накрыть крышкой и поставить в сильно разогретую духовку на 10 минут. Готовый омлет опрокинуть на тарелку, выложить на него перемолотые мясо и овощи, свернуть и облить томатным соком.  🍓17.Крупеник Этот рецепт настоящая находка для мам! Когда детки становятся очень разборчивы и капризны, когда кашу не хочется, а творог надоел)) Ингредиенты: детский творожок ""Агуша"" - 50 г, гречневая крупа - 4 ст. ложки, сливочное масло - 1 ч. ложка, сметана - 2 ч. ложки, перепелиное яйцо - 1 шт., молотые сухари - 10 г.  Взять, помыть и положить в кастрюлю гречку. Поставить её на сильный огонь, а после закипания воды перейти на слабый и варить примерно 25 минут. Гречневую кашу измельчить с помощью блендера. Тщательно перемешать гречневую кашу с детским творожком, добавить сырое яйцо и 1/2 ч. ложки сливочного масла. Переложить полученную массу в смазанную сливочным маслом форму, посыпать молотыми сухарями, поверхность разровнять и смазать сметаной. Печь примерно 25 минут (при температуре 180 градусов).  🍓18.Сырники на пару Творог – 200 г (в идеале, домашний) мука – 4 ст. л. яйцо – 1 шт. (вместо куриного можно взять 2-3 перепелиных) сахар – 4 ст. л. 1. В творог добавляем яйцо и сахар, тщательно перемешиваем до однородной массы. 2. Добавляем муку и снова перемешиваем. Муку лучше добавлять постепенно, чтобы не переборщить: когда масса примет консистенцию теста и начнет отлипать от рук, это будет значить, что муки достаточно 3. От цельного куска теста отщипываем небольшие кусочки, скатываем небольшие шарики и складываем их в пароварку на небольшом расстоянии друг от друга, чтобы не слипались. 4. Готовим на пару 30 минут.";0;0;0;14;;Мама;90
https://vk.com/wall-217604207_340;https://vk.com/club217604207?w=wall-217604207_340;https://vk.com/club217604207;https://vk.com/club217604207;2024-02-13 03:02;Здоровое питание детей раннего возраста  Рациональное питание можно с уверенностью назвать важнейшим фактором детского здоровья. Если ребенок питается правильно и разнообразно, получает достаточно витаминов, микроэлементов, белков, жиров, углеводов — это послужит надежным фундаментом для всей дальнейшей жизни. У детей раннего возраста принято выделять несколько возрастных групп, в зависимости от которых планируется режим здорового питания и пищевые привычки: до 1 года – младенцы (новорожденные), от 1 до 3 лет – ясельный возраст, от 3 до 5 лет – ранний дошкольный возраст.  Размер порции детей напрямую зависит от объема желудка, что особенно важно знать для детей раннего возраста и дошкольников. Объем желудка новорожденного составляет 30-35 мл, но в этом возрасте он сам регламентирует необходимую порцию грудного молока. Согласно Программе оптимизации вскармливания детей первого года жизни в Российской Федерации (2019 год), рекомендуемый возраст введения прикорма находится в интервале от 4 до 6 месяцев, когда он становится более активным и  объем желудка достигает 200мл. В качестве оптимальных вариантов прикормов педиатры называют: в первую очередь — безмолочные безглютеновые каши (рисовую, кукурузную, гречневую), овощные пюре, во вторую очередь – мясные и фруктовые пюре. Прикорм следует начинать с ½ чайной ложки и адаптировать в течение недели. Младенец на естественном вскармливании в воде не нуждается. Введение каждого прикорма возможно только после консультации неонатолога или педиатра.  С одного года у ребенка увеличивается объем желудка до 300 мл. Пища покидает желудок примерно через каждые 3,5–4 часа, поэтому малыш должен кушать  4–5 раз в день. Одноразовая порция составляет примерно 300 мл, в том случае, если ребенок ест 5 раз в день, то объем уменьшают до 250 мл. В ежедневном рационе обязательно должны присутствовать: молочные продукты, яйца, мясо, крупы, овощи и фрукты, сливочное масло (17 г-1ч.л.),  растительное масло (5–6 мл). В качестве сладкого можно предложить зефир, натуральную пастилу, фруктовые кусочки. В сутки ребенку в возрасте 1 года необходимо примерно 1100 ккал. Консистенция пищи должна быть пюреобразной, допускаются кусочки до 5 мм. В качестве питья можно предложить овощные или фруктовые соки (150 мл), простую кипяченую воду по желанию.  В возрасте 1-3 лет объем желудка составляет 350-400мл, изменяется работа органов пищеварения, ребенка необходимо адаптировать к твердой пище. В питании ежедневно должны присутствовать: мясо животных или птицы (2 раза в день), молочные и кисломолочные продукты (3 раза в день), овощи, фрукты, хлеб (2-3 раза в день), крупы (1 раз в день), растительное и сливочное масла, рыбу и яйца включают в рацион 2–3 раза в неделю. По-прежнему значимая роль принадлежит молочным продуктам (цельное молоко, йогурт, биолакт, кефир, молочные смеси, творог, сыр и пр.). Для детей старше 1,5 лет постепенно уменьшают степень механической кулинарной обработки пищи. Пюрированные блюда вытесняют более плотными, которые требуют активного жевания.  В питании детей можно использовать различные крупяные и овощные запеканки, а вареные и тушеные овощи нарезать мелкими кусочками. Салаты готовят из нашинкованных и мелко нарезанных сырых и вареных овощей, заправляют растительным маслом. В рацион вводят мелко нарезанные кусочки рагу из мяса или птицы (курица, индейка). Рыбу, предварительно освобожденную от костей, дают в отварном виде или в виде котлет. Свежие фрукты следует очищать от косточек и нарезать на кусочки. С 2,5 -3 лет ребенку можно предложить натуральные конфеты и кондитерские изделия. В рациональном меню должны присутствовать белки 35-40г (из них 70% животных), жиры 40-50г, углеводы 170-200г. Калорийность рациона должна составлять минимум 1200-1400ккал. В питьевой рацион можно включить: чай, кофейный напиток, напитки из цикория, овса, ячменя, ржи, какао, фруктовые компоты, кисели, морсы. В готовые блюда необходимо добавить немного специй. Основной целью данного возрастного периода  должно быть формирование правильного пищевого поведения.  Питание детей раннего дошкольного возраста характеризуется увеличением калорийности и разнообразия пищевого и питьевого рациона.  Ребенок должен получать ежедневно: белок — мясо (100–140 г), рыбу  (50–100 г), яйцо  (1/2–1 шт.), молоко (включая расход на приготовление блюд) и йогурт (450 мл), творог – 50 г, твердый сыр и сметану (10–15г), бобовые (60г), углеводы — крупы, макаронные изделия (60г), овощи (300 г — репу, редьку, морковь, свеклу, чеснок, зеленый салат), картофель (150–200г), фрукты и ягоды (200 г), сухофрукты  (15г), хлеб  (80–100г), сахар (учитывая его в составе кондитерских изделий – 60–70г), жиры — растительное масло (30г), сливочное масло  (10г).  В этом возрасте необходим пятикратный режим кормления, с интервалом каждые 3,5-4 часа. Потребность детского организма в энергии в три года составляет 1550 ккал, с четырех до пяти лет – 1950 ккал в сутки. Суточная калорийность должна соответствовать приведенным цифрам и распределяться следующим образом: завтрак – 25 %, обед – 35–40 %, полдник – 10–15%, ужин – 25% суточной калорийности. Рекомендуется составлять меню вперед на неделю, учитывая продукты, которые ребенку необходимы ежедневно, а некоторые из них он может получать 2–3 раза в неделю. Ежедневно следует включить: суточную норму молока, сливочное и растительное масло, сахар, хлеб, мясо, крупы, овощи, фрукты, свежая зелень петрушки, укропа и шпината, лук (зеленый и репчатый). Рыбу желательно предлагать два раза в неделю, яйца, творог, сыр и сметану можно давать ребенку не каждый день, но в течение 10 дней количество этих продуктов должно быть представлено в полном объеме возрастной нормы. При склонности ребенка к аллергическим проявлениям, лучше давать ему сезонные фрукты и ягоды, выращенные в вашей климатической полосе проживания (яблоки, груши, сливы, абрикосы смородину, крыжовник и пр.), ограничивая цитрусовые, клубнику и другие плоды яркой окраски. С трехлетнего возраста в рацион можно попробовать ввести грибы — вёшенки или шампиньоны (они не содержат хитин, который практически не усваивается даже у взрослого человека). Давать ребёнку грибы нужно небольшими порциями, не чаще двух раз в неделю, наблюдая за реакцией организма ребенка. Необходимо помнить, что нельзя полностью исключать из рациона ребенка сахар.  Глюкоза для детского организма крайне важна, ребенок познает мир, активно двигается, растет для этого ему нужно большое количество энергии. Однако помните, что сладкое можно и нужно употреблять в меру.  В качестве напитков педиатры советуют включить в рацион: свежие соки, компоты, простую кипяченую воду, отвар шиповника. Из горячих напитков можно предложить некрепкий чай, кисель, суррогаты с вкусовым подобием кофе, один-два раза в неделю можно давать какао. Чай, кофе и какао желательно разбавлять молоком. В качестве сладостей рекомендуется домашнее варенье, пастила, горький шоколад, зефир и мармелад.  Следует учитывать, что ребенок может отказываться от определенных продуктов, в таких случаях не следует настаивать, возможно, данное поведение связанно с индивидуальной непереносимостью каких-то компонентов предложенного блюда. У детей необходимо вырабатывать положительные ассоциации с приемами пищи: поданные блюда должны выглядеть привлекательно, источать приятный аромат, питание можно связывать с элементами игры, если у ребенка плохой аппетит.;1;0;0;11;;ГБУЗ Санаторий Тополёк;55
