ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall-138996418_93187;https://vk.com/club138996418?w=wall-138996418_93187;https://vk.com/club138996418;https://vk.com/club138996418;2024-02-13 11:34;#Macys  ⚡️Набор кукол Hungry Baby , который понравится детям 💰2⃣3⃣0⃣4⃣₽+вес 2.2₽/1гр🔥  В комплект 14-дюймовой куклы You & Me Hungry Baby входит все необходимое, чтобы развлечься во время еды, включая тарелку для кормления и столовые приборы, чашку-поильник, нагрудник с принтом и регулируемый стульчик для кормления с ремнем безопасности. В комплект входят: 1 кукла, 1 детский стульчик, аксессуары для кормления. Жесткая кукла размером 14 дюймов носит костюм из двух предметов с принтом и повязку на голову.  🇺🇸macys.com ✍Заказы сюда https://vk.com/album-138996418_281416067;2;0;0;31;;Brand Avenue. Совместные покупки из Америки;5380
https://vk.com/wall-92174711_88390;https://vk.com/club92174711?w=wall-92174711_88390;https://vk.com/club92174711;https://vk.com/club92174711;2024-02-13 10:04;🛍 ТОВАРЫ МЕСЯЦА 🛍  ❗СКИДКА 10% С 25 ЯНВАРЯ ПО 25 ФЕВРАЛЯ❗    ✅Подсвечник металлический на 3 свечи (белый и черный) 1499 руб. -10%  ✅ОЛИВМОЛЛА Одеяло теплое  - 150x200 см - 2 549 руб. - 10%  - 200х200 см - 3 299 руб. - 10% ✅Салфетница пластик 119 руб. - 10%  ✅Ящик детский 10л 355Х235Х190 мм 479 руб. - 10%  ✅Офисное кресло (белое, черное) 7999 руб. - 10%  ✅Френч-пресс 350 мл 629 руб. - 10%  ✅Набор свечей неароматических, 50 шт. 539 руб. - 10%  ✅Органайзер навесной с контейнерами 549 руб. - 10%  ✅Салфетница с держателем металлическая 419 руб. - 10%  ✅Поильник детский 199 руб. - 10%    📩📞 ПО ВСЕМ ВОПРОСАМ ВЫ МОЖЕТЕ ОБРАТИТЬСЯ К АДМИНИСТРАТОРУ ГРУППЫ https://vk.com/id147555009 ИЛИ по тел. 517-999📩📞;2;1;0;50;;ТОВАРЫ ИКЕЯ и их аналоги в наличии в Череповце;6460
https://vk.com/wall-138996418_93187;https://vk.com/club138996418?w=wall-138996418_93187;https://vk.com/club138996418;https://vk.com/club138996418;2024-02-13 11:34;#Macys  ⚡️Набор кукол Hungry Baby , который понравится детям 💰2⃣3⃣0⃣4⃣₽+вес 2.2₽/1гр🔥  В комплект 14-дюймовой куклы You & Me Hungry Baby входит все необходимое, чтобы развлечься во время еды, включая тарелку для кормления и столовые приборы, чашку-поильник, нагрудник с принтом и регулируемый стульчик для кормления с ремнем безопасности. В комплект входят: 1 кукла, 1 детский стульчик, аксессуары для кормления. Жесткая кукла размером 14 дюймов носит костюм из двух предметов с принтом и повязку на голову.  🇺🇸macys.com ✍Заказы сюда https://vk.com/album-138996418_281416067;2;0;0;32;;Brand Avenue. Совместные покупки из Америки;5380
https://vk.com/wall-207942087_189;https://vk.com/club207942087?w=wall-207942087_189;https://vk.com/club207942087;https://vk.com/club207942087;2024-02-13 13:30;📍Единороссы в рамках партийного десанта побывали в Лениногорском районе, Бугульме, Буинске и Тюлячах.  ▶️В Бугульме партдесант в составе секретаря местного отделения партии, главы района Линара Закирова  и депутатов - членов фракции «Единая Россия» в совете района посетили Березовскую начальную школу - детский сад. Учреждение, рассчитанное на 40 мест, работает с 1983 года. Обновление провели в рамках народной программы.  ▶️Партдесант Лениногорского района под руководством секретаря Старокувакского первичного отделения «Единой России», главы сельского поселения Ирины Сушковой осмотрел местную школу, в которой открылся образовательный центр «Точка роста». С первых дней ученики и педагоги по достоинству оценили возможности и преимущества центра.  Ведь современное оборудование, наборы реактивов и приборов, которыми оснащены лаборатории «Точки роста», превратили привычные уроки физики, химии и биологии в увлекательное путешествие в мир науки.   ▶️Партдесант во главе с депутатами Госдумы Рустамом Калимуллиным  и  Маратом Нуриевым  осмотрел здание молодежного центра «Киләчәк» в селе Тюлячи. Объект откроется 14 февраля, а возвели его по народной программе партии. В новом трехэтажном здании разместятся молодежный центр «Олимп», центр молодежных формирований «Форпост», Тюлячинское отделение «Движения первых», центр «Юнармия», центр детского творчества, детская музыкальная школа и библиотека.  ▶️Секретарь Буинского местного отделения партии, глава района Ранис Камартдинов  посетил два объекта народной программы. Совместно с секретарем первичного отделения Нижненаратбашского сельского поселения Рафаэлем Шарафутдиновым оценил ход ремонтных работ в местном клубе. После капитального ремонта обновятся все коммуникации – водоснабжение, водоотведение, отопление, электросети, вентиляция. А еще приведут в порядок кабинеты, коридоры, холл, зрительный зал и сцену.  ▶️Также партдесант осмотрел пищеблок Старостуденецкой школы Буинского района. Здесь пройдет масштабный ремонт, в зале установят современное оборудование, заменят мебель и посуду. Уже скоро все 109 учеников, посещающих школу, получат возможность обедать и завтракать в комфортных условиях.  #НароднаяПрограммаЕР  #ЕРТатарстан #ЕдинаяРоссия #ПартийныйДесант;0;0;0;0;;ЕДИНАЯ РОССИЯ | Татарстан | Аксубаево;98
https://vk.com/wall-163726300_277589;https://vk.com/club163726300?w=wall-163726300_277589;https://vk.com/club163726300;https://vk.com/club163726300;2024-02-13 13:30;"🥳Дорогие наши гости! ☀Солнечная Абхазия снова готова порадовать вас кавказским гостеприимством и природой невероятной красоты!🏖 Однако для того чтобы от отдыха остались только самые положительные впечатления прежде всего необходимо позаботиться об отеле🏨, ведь удачно подобранный отель может превратить ваш отдых в незабываемый!  🥰 Мы решили взять эту ответственную миссию на себя и специально для вас нашли самый уютный отель, у котором отлично все, от месторасположения, до условий размещения!🤩  Гостиница ""Тимур"" вобрала в себя лучшие черты Абхазии.   По домашнему уютный отель ""Тимур"" расположен в сердце♥ г.Гагра, рядом с парком Славы и колесом обозрения, вблизи как гор⛰, так и моря🌊, которое находится всего в 5−7 минут ходьбы от отеля. Не смотря на близость к морю отель удален от городской суеты, шума машин и дискотечной музыки, так навязчиво приследующей туристов, решивших остановиться в пребрежной черте.  Номера в ""Тимуре"" сделаны с домашним уютом. В номерах есть все что необходимо для комфортного отдыха: ТВ с кабельными каналами,чайник, фен, кондиционер, холодильник, wi-fi. Во дворе имеется общая кухня. Имеются номера как с собственным санузлом, так и с общим. Разница в цене.   Отель более всего подходит для семейного отдыха, отдыха с детьми. Для детей созданы наиболее комфортные условия, большой зеленый двор, детская площадка на территории.  По всем вопросам звоните по телефону +79409270515 Работает WhatsApp  📌Предоставляемые услуги: Автостоянка  Прачечная  Место для отдыха  Бесплатный Wi-Fi Столовая  Бар  Мангал  Детская площадка  🚗 Трансфер:  Встреча на ж/д вокзале Встреча на границе Встреча в аэропорту  Организация экскурсий: групповые и индивидуальные   Можно с детьми любого возраста   Кухня с холодильником, посудой, чайником";0;0;0;6;;Абхазия Отдых Экскурсии Джиппинг В / По Абхазии;104219
https://vk.com/wall-93633322_87027;https://vk.com/club93633322?w=wall-93633322_87027;https://vk.com/club93633322;https://vk.com/club93633322;2024-02-13 13:30;‼🌸ПУСТЬ 8 МАРТА БУДЕТ ПРАЗДНИКОМ ДЛЯ ВСЕХ НАШИХ ЖЕНЩИН🌸‼ УСПЕВАЙТЕ СДЕЛАТЬ ЗАКАЗ👍ПОПУЛЯРНАЯ ЗАКУПКА ПО ОПТОВЫМ ЦЕНАМ👈 СИМА - ЛЕНД.❗👉  🔊🔊🔊🔊🔊🔊🔊🔊🔊🔊🔊🔊🔊🔊🔊🔊🔊🔊🔊🔊  ПРИНИМАЮ ЗАКАЗЫ С САЙТА СИМА ЛЕНД, А ТАКЖЕ С АЛЬБОМОВ.👇  https://www.sima-land.ru/    🍽🥛 ПОСУДА 👉 альбом https://vk.com/album-93633322_300225917?rev=1  🥢ПОСУДА В ВОСТОЧНОМ СТИЛЕ 👉 альбом  https://vk.com/album-93633322_300877495  ☕ПОСУДА ДЛЯ ЧАЯ И КОФЕ 👉 альбом  https://vk.com/album-93633322_300844268  🍴🥄 КУХОННЫЕ ПРИНАДЛЕЖНОСТИ И НОЖИ 👉 альбом  https://vk.com/album-93633322_300874855  🍸ПОСУДА ДЛЯ НАПИТКОВ И АЛКОГОЛЯ 👉 альбом  https://vk.com/album-93633322_300875419  СТОЛОВЫЕ ПРИБОРЫ👉 https://vk.com/album-93633322_301481644  СТОЛОВАЯ ПОСУДА 👉 https://vk.com/album-93633322_301482051  ПОСУДА НА 8 МАРТА https://vk.com/album-93633322_301435848  🍼🥛ДЕТСКАЯ ПОСУДА 👉 альбом https://vk.com/album-93633322_300877117  ТЕКСТИЛЬ ДЛЯ КУХНИ  👉 альбом https://vk.com/album-93633322_301112303  ТЕКСТИЛЬ ДЛЯ ВАННОЙ  👉 альбом https://vk.com/album-93633322_301112289  🛒🛏 ТЕКСТИЛЬ 👉альбом https://vk.com/album-93633322_300294254  ШТОРЫ, ТЮЛИ 👉альбом https://vk.com/album-93633322_301112155  🛏ПЛЕДЫ, ПОКРЫВАЛО  👉 альбом https://vk.com/album-93633322_301111180  🛏ПОСТЕЛЬНОЕ БЕЛЬЕ  👉альбом https://vk.com/album-93633322_301110483  🛏ОДЕЯЛО, ПОДУШКИ, МАТРАСЫ  👉 альбом https://vk.com/album-93633322_301111368  ТЕКСТИЛЬ ДЛЯ БАНИ И САУНЫ 👉 https://vk.com/album-93633322_301111402  💕ПОДАРКИ ДЛЯ ВЛЮБЛЕННЫХ 👉 альбом https://vk.com/album-93633322_300877748  ПОДАРКИ ДЛЯ МУЖЧИН 👉 альбом https://vk.com/album-93633322_300978189  ПОДАРОЧНЫЕ НАБОРЫ 👉 https://vk.com/album-93633322_301272545  🍭🍡🍫ВСЕ ДЛЯ КОНДИТЕРА 👉 альбом https://vk.com/album-93633322_300936564    #ТысячаМелочей@pokupki_uu  #ТысячаМелочей@karamelka_uu03  #КосметикаПарфюмерия@pokupki_uu  #КосметикаПарфюмерия@karamelka_uu03;0;0;0;0;;ЭКОНОМНЫЕ ПОКУПКИ - 2 ГРУППА;11237
https://vk.com/wall-54525574_84338;https://vk.com/club54525574?w=wall-54525574_84338;https://vk.com/club54525574;https://vk.com/club54525574;2024-02-13 13:28;Горячие скидки в «Модном городе»!  Только 6 дней, с 10 по 15 февраля на весь ассортимент минус 30% за наличный расчет, 20% по карте.    Большое поступление зимней и весенней одежды, головных уборов, обуви!    Для вас 2 этажа: мужские, женские, детские куртки, шапки, обувь, посуда, нижнее белье, мягкие игрушки и многое другое.    ТЦ «Стиль», ул. Советская, 194    vk.com/id710553794  t.me/modnigorod0104  ok.ru/profile/578615684716  instagram.com/shopping_center_biysk    Реклама. ИП Саидова П.Н. ИНН 220704628872. Erid: 2VtzqvnfeCG;0;0;0;9;;Работа в Бийске;26062
https://vk.com/wall-221761886_15538;https://vk.com/club221761886?w=wall-221761886_15538;https://vk.com/club221761886;https://vk.com/club221761886;2024-02-13 13:28;– Я не курица и не лошадь! - как я поставила лентяя-мужа на место  Едва выйдя из дверей аэропорта, моментально промокла и продрогла. Жуткий ливень, сильный ветер, даже зонтик и кепка бессильны при такой собачьей погоде. Притом чемодан тяжелейший: всей родне подарков в Германии накупила. А вызванного такси все не было. Перезвонила диспетчеру.    – Ой, подождите чуточку, пожалуйста. Водитель по дороге выгодный заказ подхватил. Отвезет пассажира и к вам примчится.    – Пусть дальше едет по своим делам, – возмутилась я, – отменяю заказ, сама что-нибудь придумаю.    Поймала частника на убогих жигулях, хоть и за бешеные деньги. А что делать – дальше мерзнуть и мокнуть?    Уже дома    Рассказала мужу о своих отвратительных дорожных перипетиях, пожаловалась на безответственные действия таксиста.    – Ты меня не мог встретить, Алеша? Прекрасно ведь знал о времени моего прилета, мы же регулярно перезванивались по Вайберу.    – В офисе сидел. Дорогая моя, отпрашиваться было стыдно. Жена по заграницам катается, а мне с начальством такие вопросы перетирать.    – Ну да, я же на элитном курорте была, а не в мерзком городе Дортмунде смотрела и слушала тупые мастер-классы в своей командировке, – съязвила я.    Мой благоверный закапризничал    – Поесть хоть будет чего, Наташенька? Проголодался очень, в желудке журчит.    – А как же. Сейчас сварю магазинные вареники с картошкой. На упаковке сказано, что внутри них еще телячья печенка имеется. Сытно.    – Фу, гадость какая несусветная. Надо бы что-то домашнее приготовить, вкусненькое, – скривился он, – у тебя прекрасно получается, знаю твои способности.    – Ага, куриное или свиное филе потушить, говяжье жаркое сделать с зеленым горошком, едва войдя в дом, не разувшись и не успев руки вымыть. Так все это заморожено. Вполне мог бы сам себе и жене ужин сделать, предварительно достав мясо из морозильника. Взрослый человек, умелый. Хомо сапиенс, как говорится. Все перечисленное совершенно легкое в приготовлении. Подсуетился бы, а потом оба с удовольствием поели. Я же только прилетела. Когда разносолами заниматься?    На другой день отварила пельмени из супермаркета. Гадость – жуть. Обильно полила кетчупом, укропом и чесночной нарезкой присыпала, подала.    – Что за очередная дрянь? Ты ж дома, – возмущался супруг.    – Между прочим, как и ты, я на работе. К выходным что-то нормальное буду приготавливать. Голубцы, например, сделаю. Или что-то попроще, но все же съедобное, не полуфабрикаты из супермаркета.    Скорчился, однако съел. В четверг поджарила купленные в ларьке сырники.    – Снова несъедобная пища, – возмущался Леша. – А дашь молочка?    – Пока не подоили бычка, – ответила я так, как шутила моя бабушка. – Ты же на форде разъезжаешь. К слову, на общие деньги купленном. Почему в магазины не заехал? Там молоко продается, йогурты, сметанка и кефир. Много и других продуктов найдется. Ты какую зарплату в этом месяце принес?    – Сорок тысяч почти. Чуть меньше, конечно, – смутился он.    – А я, между прочим, восемьдесят. На автобусе, набитом пассажирами, с работы езжу. Сесть некуда, поскольку сидячие места заняты еще с конечной остановки. За моими коллегами мужья на машинах приезжают. Белой завистью исхожу.    – Так бензин же дорогой, – возмутился он.    – А жена дешевая? Логично.    – Городской транспорт у нас отличный, по расписанию ходит. Чего себя жалеть?    – Да не жалею я, просто устаю кошмарно. С ног валюсь. Прихожу ежедневно позже тебя. Ты это замечаешь? Я заместитель руководителя. В подчинении 200 человек. У тебя столько же?    – Только шестеро, – потупил глаза он и покраснел.    Разговор по душам с родителями    Приехав проведать, пожаловалась им на Алексея.    – Давно замечаю, что он лентяй и абсолютный эгоист, – заявил отец.    Мама поддакивала:    – Скажи, каков твой муж, и я скажу, кто сама ты. Бесхребетное существо! Или перевоспитывай его, или разводись. Другого мужчину найдешь. Такая красавица, к тому же успешная женщина. Детей нет. Найдешь вариант.    То же самое говорили мне на работе подруги. Сводилось все к тому, что выложила мне мать:    – Кто ты при таком муженьке? Курица плюс лошадь. Разве это счастье?    – Да уж, сочетание отличное, – смеялась я, хотя теперь стала задумываться о печальном положении вещей в нашей семье.    Действительно, являюсь бесхарактерной дурочкой, притом счастливой себя отнюдь не считаю. И от прежней любви следа нет, хотя симпатия к нему осталась. До свадьбы видела, что он собой представляет, но надеялась на перемены.    Занялась перевоспитанием    Дождалась, когда Леша дослушает свою любимую передачу, отобрала у него ноутбук и пригласила в кухню на разговор. Он удивился, но чай с предложенными мною конфетами с удовольствием пил.    – Какая-то проблема, Натали?    – Да. И она сидит напротив меня, – спокойно и с улыбкой ответила я.    – Что я наделал? Пьянки и гулянки исключаются. Ты у меня единственная.    – Это точно, только счастье семейной жизни куда-то улетучивается. Мне самой из супермаркета картошку таскать? У нас на одно пюре осталось. Просила тебя купить как ее, так и свеклу, лук, фасоль, рис, пшенку. Трудно? Прикатил тележку с овощами и всем остальным к автомобилю, загрузил в багажник и привез. Охранник телегу вывезет с улицы, возвращать не нужно. Пять минут всего лишь.    – Наточка, забыл. Обязательно все выполню. Из головы вылетело поручение.    – Я список давно написала. У тебя в кармане неделю лежит. Рассчитывала на помощь.    – Завтра же притащу все записанное, – хлопнул он себя ладошкой по лбу.    – А твои минимальные доходы? Что о них скажешь?    – Мне руководство предложило солидное повышение. Только боюсь такой должности. Зарплата почти как твоя. Однако ответственность…    – Справишься с серьезной работой. Не младенец. Оторви кое-что от компьютерного кресла, престижным делом займись. Глядишь, до еще более серьезной должности дорастешь. А то детский сад какой-то. Жена тебя обучает самостоятельности. Нормально это?    – Понимаю, Наташа. Самому неловко. Надо было раньше мне пинков надавать, чтобы прозрел.    – Хорошо, с разными нюансами разобрались. Кроме остальных, более мелкие остались. Пока я не приехала с работы, трудно налить в стиралку гель, положить туда твою и мою домашнюю одежду, носки, трусы, постельное белье? Машинка стирает, а ты футбол либо хоккей смотришь, пиво пьешь. Рядом робот-пылесос крутится, пыль втягивает, полы моет. Тяжелая работенка? Мне кажется, нисколько. Умная техника трудится, а ты отдыхаешь. Заходя в кухню, замечаешь полные мусорные мешки? А надо бы посмотреть. До контейнера для мусора пять шагов. Я по темноте, приезжая с работы, их выношу. Вот оно, мое семейное счастье.    – Любимая, стану по хозяйству помогать, обязуюсь. Мозги мне промыла. Раньше надо бы было. А то я тебя несчастной делаю.    – Правильно заметил. Жизнь у нас общая, хозяйство тоже. Почему же всего один человек все это должен тащить? Гору твоей грязной посуды вымывать, стиралку запускать. Ну и так далее.    Когда Алексей стал приносить хорошую зарплату, наконец-то накопили на отпуск в Италии, на озере Комо побывали – красотища неимоверная. Потом в Испании отдохнули. После этого почувствовала себя по-настоящему счастливой, особенно узнав, что беременна. А когда родилась Настенька и муж стал с ней забавно сюсюкать и постоянно нянчиться, чтобы я поспала, еще большее счастье ощутила.;0;0;0;58;;Просто о жизни;58213
https://vk.com/wall-194265837_605;https://vk.com/club194265837?w=wall-194265837_605;https://vk.com/club194265837;https://vk.com/club194265837;2024-02-13 13:24;Обзор  13.02.2024г сотрудники детско-юношеской библиотеки им. И. С. Тургенева провели обзор «Кладовая Земли» с воспитанниками группы «Радуга» МБДОУ №64  Живя в стране богатой полезными ископаемыми, у детей нет знаний об окружающих нас камнях и минералах. Знакомство детей с разнообразием полезных ископаемых помогает ближе познакомиться с природой России.  Малыши узнали о том, какие богатства скрываются в недрах Земли, познакомились с литературой на эту тему, посмотрели презентацию.  Затем познакомились с профессиями тех, кто занимается открытием и добычей полезных ископаемых – геологами. Они знают много способов, как поднять природные богатства на поверхность. Например, для добычи нефти в земле делают буровую скважину, гранит добывают в карьере с помощью бульдозеров и экскаваторов, а уголь – в шахте.  Также библиотекарь рассказала о том, что полезные ископаемые человек использует в хозяйстве для изготовления различных предметов, строительства, как топливо и удобрения. Из гранита и песка получится крепкий дом, газом или углем мы его обогреем, слепим красивую посуду из глины, а землю для будущего огорода удобрим торфом.  Сделали вывод: полезные ископаемые - это клад нашей Земли. Поэтому, как любой клад их нужно беречь и рационально использовать то, что дает природа.  #Экология #Полезныеископаемые #НедраЗемли #ПриродаРоссии #БогатстваРоссии #НовочеркасскБиблиотекаТургенева #Библиотеки_Новочеркасска #Новочеркасская_ЦБС;0;0;0;1;;Библиотека Тургенева Новочеркасск;282
https://vk.com/wall-216649695_260;https://vk.com/club216649695?w=wall-216649695_260;https://vk.com/club216649695;https://vk.com/club216649695;2024-02-13 13:23;ЭКСКУРСИЯ НА КУХНЮ ДЕТСКОГО САДА С ДЕТЬМИ 2 МЛАДШЕЙ ГРУППЫ «Б».                                         Мы продолжаем знакомить детей с профессией работников детского сада. В один прекрасный день мы всей группой отправились на экскурсию на кухню нашего детского сада. Где познакомились с профессией повара. Кто же такой повар? Повар -это человек, профессией которого является приготовление пищи. Придя на кухню, поближе познакомились с поварами. Они показали предметы, которые необходимы для их работы. Рассказали , что на плитах готовят супы, борщи, каши, а в духовом шкафу их любимые пирожки. С интересом дети рассмотрели и выяснили, что посуда больше, чем у них дома , что здесь чисто и уютно. Напомнили им о том, что кухня - это место повышенной опасности , там находятся электрические плиты, острые предметы, горячая вода. Ребята повторили правила безопасного поведения и были осторожны в течении всей экскурсии. В завершении экскурсии дети поблагодарили поваров за то , что они каждый день готовят для них вкусную еду. Воспитатели: Крупп М. А.  Маргиева М . Д.;2;0;0;2;;МБДОУ Детский сад 14 г. Беслана;170
