ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall-217162070_28898;https://vk.com/club217162070?w=wall-217162070_28898;https://vk.com/club217162070;https://vk.com/club217162070;2024-02-13 08:20;Сода в помощь огороднику    1. Сода от мучнистой росы  Почти каждому дачнику знакома такая напасть, как мучнистая роса. Справиться с ней вполне под силу пищевой соде. Вот два проверенных рецепта:  Разведите в 1 литре воды 1 ст. л. соды, добавьте 1 ст.л. растительного масла и 1 ст. жидкости для мытья посуды. Смесь залейте в распылитель, хорошенько взболтайте. Опрыскивайте ей растения раз в неделю в облачную, но сухую погоду.  В 5 литрах воды разведите 2 ст. л. соды и 20 грамм мыла. Этим раствором растения опрыскивайте в первый раз перед цветением, а затем ещё 3-4 раза с интервалом в неделю.    2. Сода для омоложения розовых кустов  Чтобы омолодить кусты роз размешайте в 5 литрах воды: 1 ч.л. соды, 1/2 ч.л. нашатырного спирта и 1 ч.л. соли Эпсома.    3. Сода против сорняков  Избавит сода и от мелкой сорной травки, пробивающейся между плитками дорожки или площадки для отдыха (как сейчас модно говорить — патио). Для этого пролейте щели между плитками крепким содовым раствором.    4. Сода для защиты капусты  Чтобы избавиться от гусениц, поедающих молодые капустные листочки, смешайте в равных частях соду, муку. Такой прикорм вредителю очень понравится, но к счастью садовода, окажется для них несовместимым с жизнью.    5. Сода для подкормки томатов  Удивительно, но многие бывалые дачники утверждают, что содовые подкормки (опрыскивание) делают помидоры слаще.    6. Определение и изменение кислотности почвы  Сода — самая известная бытовая щелочь. Поэтому при смешивании с наиболее кислой влажной почвой (рН до 5) поведет себя также, как при гашении уксусом в быту, т. е. зашипит и запузырится.    Можно использовать соду и для уменьшения кислотности почвы, главное в этом деле не переусердствовать, т. к. на некоторые растения сода влияет не лучшим образом.    7. Сода для винограда  Пищевая сода применяется на виноградниках в период созревания ягод, это увеличивает их сахаристость и уменьшает повреждаемость серой гнилью. Опрыскивают всю надземную часть раствором – 75 гр. соды на 10 литров воды. На фруктовых деревьях такое опрыскивание применяется против листогрызущих гусениц.    8. Моющее средство  После дел садово-огородных руки выглядят не лучшим образом. Но и здесь сода приходит нам на помощь. Она поможет эффективно очистить руки от въевшейся садовой грязи.  Хорошо содой мыть грязную посуду.    9. Отдушка для компостной кучи  Если ваша компостная куча стала источать неприятный запах, используйте соду, чтобы исправить это! Просто добавьте соду в компостную кучу и, через некоторое время, вонь должна исчезнуть.;7;5;0;1028;;Дача в радость;137021
https://vk.com/wall353806304_22830;https://vk.com/id353806304?w=wall353806304_22830;https://vk.com/id353806304;https://vk.com/id353806304;2024-02-13 06:22;Помни и отмечай свои праздники.а не стелись перед басурманскими фанатиками! Негоже басурманские недопраздники отмечать День влюблённых по-русски 8 июля.День семьи,любви и верности! Странные дела творятся в мире, прогресс крепчает. Веками жили люди, любили друг друга, причем любили гораздо крепче, чем сейчас. И не знали никакого «дня святого валентина» в качестве дня влюбленных. А сейчас любить разучились, из созданных семей сохраняется лишь 10%, зато массово научились праздновать «валентинов день». Ах, какой он милый на картинках, этот «день влюбленных» - «день святого валентина», он весь такой плюшево-цветочный, сердечково-шоколадный! Просто спальня маленькой девочки, а не праздник…  За невинным внешне праздником скрывается пропаганда гомосексуализма, разврата и избиение женщин. Поэтому стоит подробнее взглянуть на историю происхождения этого сомнительного торжества.  Что же это за чудо-праздник такой, валентинов день, кто его придумал и зачем?  ПРОИСХОЖДЕНИЕ И ЛЕГЕНДЫ  День святого Валентина - назван по имени раннехристианского мученика. св. валентин жил в итальянском городе Терни в III веке и был казнен 14 февраля 270 г. Считается, что он был канонизирован папой Римским Геласием I в 494 г. Этот праздник назван в честь как минимум двух раннехристианских мучеников с именем Валентин. «День святого валентина» берет свое начало с легендарных Луперкалий – фестивалей эротизма, отмечавшихся 14 февраля. О размахе оргий, насилия над женщинами, поощрения гомосексуализма, непременно сопровождавших празднование, можно подробнее узнать в специальной литературе или почерпнуть из других открытых источников.  Кто же был тот человек с именем, которого связывают традицию празднования «дня всех влюбленных»? В многочисленных публикациях появляющихся в канун 14 февраля вы можете прочитать следующую красивую легенду.  «Христианская религия была вне закона, когда священник Валентин проповедовал в Риме в III-м веке. Во времена императора Клавдия II (268-270) началась война с готами и был объявлен набор молодых людей в армию. Но те, кто был женат, не хотел бросать своих жен, а те, кто был влюблен, - своих любимых. В гневе Клавдий запретил брачные обряды, но Валентин не подчинился приказу и продолжал венчать молодых людей. Это сделало Валентина другом всех влюбленных в Риме, но привело в ярость императора. Валентин был схвачен, заключен в тюрьму и казнен 14 февраля 269 года. Накануне казни он послал письмо дочери начальника тюрьмы, которая была его возлюбленной. В письме Валентин прощался с нею, благодарил за все и подписался: 'Твой Валентин'. Это и положило основание традиции Дня святого валентина». На первый взгляд все кажется очень правдоподобно и исторически выверено. Но на самом деле совершенно несостоятельно. Во-первых, потому что таинство венчания сформировалось в Церкви только в эпоху средневековья, в III веке такого обряда просто не было. Значит, Валентин никого не венчал. Во-вторых, не надо быть большим знатоком церковного права, что бы понимать, что священник не может вступать в брак. Такое установление мы находим еще в Новом Завете. Священник, если он не женился до своего рукоположения в сан, теряет каноническую способность на брак. В противном случае он совершает большой грех, за который наказывается лишением сана. Таким образом, у Валентина, если бы он был священником, появление новой возлюбленной означало бы факт измены или своей супруге или своей вере. При подобных обстоятельствах такой человек просто не мог быть прославлен в лике святых. Приходиться признать, что эта красивая легенда просто неграмотная ВЫДУМКА христианской Церкви.  Другую версию о происхождении этого торжества предложил священник Греческой православной Церкви Георгиос Металлинос. Согласно его мнению, традиция празднования этого дня была установлена американским актером Рудольфом Валентино, умершим в 1926 году. Последний считал себя идеалом всех любовников и в этот день устраивал в своем доме развратные вечеринки, которые называл «Valentine’s Day».  В любом случае говорить о древних традициях празднования этой даты не приходиться. Да, Церковь знает несколько древних святых с именем Валентин, среди них и пресвитер, и епископ пострадавшие в III веке. Имеются их старинные жития, в которых, разумеется, нет ничего из того, что предлагают современные «летописцы». Очевидно, что первоначально возникла идея и коммерческая предпосылка празднования «Дня всех влюбленных», а уже после стали подводить под нее историческую составляющую. Таким образом, у февральского праздника в Риме древние корни. В любых его вариантах рядом шли любовь и страх, смерть и боль. То же самое можно сказать и о средневековом и современном его толковании. И люди такое празднуют?!?!  МАТЕРИАЛЬНАЯ ЗАИНТЕРЕСОВАННОСТЬ, КУЛЬТ КОМЕРЦИИ (кому выгодна популяризация празднования дня святого валентина)  Когда же она появилась, и стал праздноваться новый день календаря? На самом деле, совсем недавно. Это родное дитё эпохи капитала. Свое победное шествие праздник начал, разумеется, из Америки в XIX веке. И во многом обязан своим успехом коммерческой составляющей: продаже подарков и почтовых открыток-сердечек, активно продвигаемых двигателем торговли – рекламой.  Стоит только удивляться, как современный «русский» человек способен доверчиво, без анализа и рассуждений принимать все культурные отбросы, которые ему предлагают СМИ и проявления западной или американской культуры потребления. Скажут – «Ваня, сегодня у нас «Хеллоуин», и Ваня покорно справляет праздник, когда по кельтским представлениям на землю выходит всякая нечисть. Или: «Ваня, сегодня всемирный день святого валентина!» – и наш «Ваня» ударяется во все тяжкие… Что тут скажешь, – в Европе прорвало культурную канализацию, а у нас все всплывает… В соответствии с планом Алена Даллеса: «Мы будем браться за людей с детских, с юношеских лет, главную ставку будем делать на молодежь. Станем разлагать, развращать, растлевать ее… Мы незаметно подменим их ценности на фальшивые и заставим их в эти фальшивые ценности верить…» по молодежи тяжелым катком прошелся секспросвет, щедро спонсируемый разными «соросами». На этом очень неплохо заработали те, кто выпускает молодежные журналы, аптечные изделия и пр. И если мы начнем вспоминать, когда стал прививаться на нашу почву неведомый нам прежде «день влюбленных», то увидим, что он начал вползать к нам через СМИ сразу после первой отбитой нами атаки полового просвещения наших детей.  Различные шоколадки, печенюшки, конфетки, сердечки, купидончики (амуры), виртуальные открытки в соцсетях, бумажно-картонные и прочие «спецсредства» для втягивания молодых в празднование «валентинова дня» – по сути то же самое, что и наживка с прикормом, для снастей при ловле рыбы.  ПРЕДПОСЫЛКИ ВОСПРИЯТИЯ И ПРИНЯТИЯ Дня Святого Валентина. ДУХОВНАЯ И ПСИХОЛОГИЧЕСКАЯ СУТЬ  Более ста лет назад, пройдя «американизацию», праздник постепенно приобрел свой современный вид.  Валентинов день вихрем ворвался в нашу жизнь в середине 90-х годов XX-го века. И многие наши земляки, порядком подуставшие от бесконечных потрясений и элементарного недостатка положительных эмоций, на ура восприняли новый праздник, как тогда казалось – праздник любви.Но таковы особенности современной масс-культуры, когда постепенно выхолащивается смысл праздника, как растаявшая во рту конфета, а в красивую обертку заворачивается все что угодно, но только не традиционные человеческие ценности, на которых зиждилась жизнь многих поколений наших предков.  Почему пока малоэффективны разъяснения о подоплеке всех этих «дней влюбленных»? Потому что очень трудно и часто невозможно рационально бороться с тем, что находится в сфере эмоционального.  Почему молодые не хотят слышать о том, что на самом деле спрятано за этими «днями»? Скорее всего, потому, что их притягивает слово «любовь» в нашем жестком мире, в котором «оскудевает любовь». Рано оторванные от родителей и прошедшие через систему «ясли-детский сад», не обласканные родительской любовью, не защищенные ею, но отрастившие шипы и колючки, они как воздух ищут любовь всю оставшуюся жизнь и попадают на вот такие самые подмены. Для них любовь – это уже теперь не тепло, уют, много совместных домашних дел и разговоров. Родители, отдающие все свое время и силы зарабатыванию денег, с детьми выстраивают чисто функциональные отношения: накормить, одеть, обуть, обеспечить развлечение. Душевно и духовно не развитые дети тоже не могут никому отдать того, что сами не получили. Намного проще купить бумажное или шоколадное сердечко, кому-нибудь подарить и забыть об этом. Теперь уже это называется любовью.Любовь-взгляд, любовь-тайна, любовь-состояние – исчезают. Появляются действия любви. Любовь становится функцией. Это раньше были переживания. Сейчас все перемещается в предметную деятельность. Тонкость душевных переживаний пропадает.  К счастью, не все попадают в придуманные беспринципными коммерсантами «дни-ловушки». Не все ведутся на эти «липовые праздники». Если поначалу молодежь бросилась во все тяжкие, то здоровая часть общества, в основной своей массе, к этим «дням» все-таки относится трезво и спокойно. Естественно – такие люди сердцем чувствуют искусственность, суррогатность таких псевдопраздников как «Валентинов День».  Восстановление крепких семей в нашем обществе также демонстрирует нам, что подлинная семейная любовь безмерно выше тех лукавых «дней». Подлинные духовно-нравственные ценности возвращаются в нашу жизнь.  А «день святого валентина» является аморальным праздником, направленным на превращение интимных чувств во всеобщее и публичное действо, а также эксплуатирует низменные чувства и извращает само понятие любви.;2;1;0;143;;Калужский Копатель;9709
https://vk.com/wall514922142_5838;https://vk.com/id514922142?w=wall514922142_5838;https://vk.com/id514922142;https://vk.com/id514922142;2024-02-13 11:16;Месяц назад, когда я пришла домой с работы, меня встретили непривычно тихая Муся и Дима с задумчиво поднятой бровью.  — Мама! Ты ведь правда не рассердишься?  — Ты продала Осю за миллион? — легкомысленно откликнулась я.  Ося — наш лысый кот породы «петерболд». С родословной такой длины и чистоты, что все мы против него дворняжки. Даже Дима, чьи родственники по отцу восходят практически к царю Давиду.  Осю, если очень захотеть, действительно можно продать за миллион. Ну… или около того.  — Нет, что ты, — с жаром заверила меня Муся, — наоборот!  — Что «наоборот»? — не поняла я. — Ты купила за миллион еще одного кота?  Муся заулыбалась, как человек, призванный сообщить Очень Хорошую Новость.  — Ну что ты, мамочка! Никакого миллиона платить не пришлось! Мне все досталось совершенно бесплатно!  В этом месте на Диму напал такой смех, что я решительно потребовала объяснений. Точнее, я уже и без них все поняла, но меня интересовали масштабы бедствия.  Масштабы бедствия оказались велики: Мусина одноклассница Элия нашла в канаве крошечного котенка. Она забрала находку домой. Но из дома их с котенком немедленно попросили — там собака и вообще. Поэтому Элия принесла киску в класс, несчастную, с дикими глазами (у обоих — у котенка и у Элии), возьмите кто-нибудь.  — Понимаешь, мама, — объяснила мне Муся, — ее совсем никто не хотел. И мне ее стало так жалко…  В этом месте я захотела убиться веником. Потому что жалко мне стало прежде всего себя, несчастную, с дикими глазами, один раз уже игравшую весь этот водевиль. Восемь лет назад Дима подобрал на нашей парковке слепое полосатое нечто возрастом около недели, которое мы попытались выкормить из бутылочки. Выкармливали три недели, после чего полосатый клиент внезапно умер, в одну ночь. С такими маленькими котятами это бывает — они просто не выживают, и все. Собственно, после этого у нас и появился Ося. Но дырка от того кота еще долго болела и напоминала о себе.  Эта дырка от кота во мне немедленно отозвалась, как только я представила заново весь процесс. С настолько непредсказуемым — точнее, легко предсказуемым — отрицательным результатом, что… Да и вообще, я не планировала сейчас еще одного кота.  — Ну, показывай, что там тебе совершенно бесплатно досталось.  Мне продемонстрировали картонную коробку. В коробке лежала груда тряпок, а на ней… Вот, знаете, в чешском языке есть слово «страшидло». Так это было именно оно. Размером меньше Мусиной ладони, грязно-серого цвета и такое худое, что рука с ним казалась легче, чем без него. Облезлый скелет кота с глазами умирающего гоблина. Было, в общем, понятно, почему его «совсем никто не хотел».  Мы провели с Мусей экспресс-беседу на тему «ты в ответе за тех, кого приручил» — но больше для проформы, потому что всем и без беседы было ясно, что этот суповой набор остается у нас. Как минимум потому, что больше он никому не нужен.  Честно говоря, в тот момент мне здорово казалось, что и мы бы без него обошлись.  Поскольку наш дом уже богат младенцем и еще одним котом, на сутки до визита к ветеринару скелет кота отправился в карантин. Карантин состоял из отдельной комнаты, большой картонной коробки, мягкой подстилки, грелки, туалета и пары плюшевых зверей. Каждые четыре часа скелет кота приходили кормить. Выяснилось, что распорядок нашего дома очень удобен для кормлений раз в четыре часа: мы с Димой поздно ложимся, Муся рано встает, а Роми просыпается по ночам. Так что круглые сутки можно найти кого-нибудь бодрствующего и годного для засовывания бутылки со смесью в кошачий рот. (Нет, Роми пока на это не способна, зато способен тот, кто проснулся вместе с ней).  Между кормлениями в карантине непрерывно тусовалась Муся, которая боялась, что киске будет грустно.  То, что киске не слишком грустно, я поняла, когда ночью обнаружила ее угревшейся под пледом на диване. Сбоку стояла картонная коробка — кошачий временный отель. Каким образом крошечная скотинка умудрилась выбраться из закрытой коробки, да еще и вскарабкаться на довольно высокий диван, осталось загадкой. Юный Гудини дергал тощими лапками и отказывался давать показания.  * * *  Ветеринар двумя пальцами выудил скелет кота из переноски и восхитился:  — Красавица!  Красавица выкатила на него свой коронный гоблинский взгляд и пискляво сказала: «Мяу».  — Умница, — одобрил ветеринар.  Меня вот все интересовал вопрос, чем ее мыть, да как ее мыть, да как вытирать, да как вообще. Крошечная же киска, ста грамм не наберется, и слабенькая, как снежинка под дождем. Кажется, криво посмотри — сломаешь лапу. Ветеринар подошел к проблеме проще. Он бесцеремонно смешал наши сто грамм кота с чем-то пенным, вымыл под краном примерно как бабушка учила меня в детстве стирать колготки, практически раскатал под полотенцем и только что не отжал. Сто грамм кота, что интересно, ничего протестующего не сказали. То ли им все это понравилось, то ли травма оказалась столь глубока, что была немедленно вытеснена в подсознание.  (Не спрашивайте меня, какое может быть подсознание в башке размером с грецкий орех. С моей точки зрения, там и сознания-то никакого не может быть).  Ветеринар, не переставая восхищенно цокать языком, провел с животным кучу процедур и сообщил, что киска, в целом, «ничего». Но у нее крайнее истощение, анемия и очень мало сил.  — Ты ее спасла, — сказал он Мусе. — В канаве ее бы очень быстро съели блохи. Живьем.  — Это Элия ее спасла, — ответила честная Муся. — А я просто забрала домой из школы.  — Из какого класса? — деловито уточнил ветеринар.  — Из шестого.  — Тогда точно спасла.  Судя по интонации, шестой класс с точки зрения ветеринара являлся не более подходящим местом для умирающего котенка, чем та канава.  В помытом виде наше страшидло несколько распушилось, и не то что бы похорошело, но приобрело смутные очертания кота. Первые полторы недели оно либо лежало, либо ело. И болело всякими желудочными неполадками, приводившими меня почти в отчаяние — ужасно не хотелось, чтобы и этот котенок вдруг отдал концы. Я круглосуточно проверяла, дышит ли чучело, съело ли оно хоть что-нибудь, и что произошло потом с тем, чего оно там съело. Ветеринар уже начал узнавать меня по голосу. Когда мы притащили ему клиента с очередными жалобами на неправильные отходы, он погладил заметно округлившееся животное и весело сказал:  — Все, можешь не волноваться. Вы влипли с этим котом на много лет.  Смешно устроен человек. За пару недель до этого я знать не знала ни о каком коте, и, если бы меня спросили, хочу ли я взвалить на себя помоечного вида страшидло с когтями — я бы даже не ответила «нет», я бы просто не поняла вопроса. Но стоило Мусе притащить домой эти кошачьи мощи, а нам — понервничать за их здоровье, как сообщение о том, что «мы влипли с этим котом на много лет» становится лучшей новостью дня и даже месяца.  Эх. Видели бы вы эту лучшую новость месяца. Как пели грифы в мультфильме «Книга джунглей», набор костей — и ходят сами по себе.  * * *  Первые сутки мы считали, что наша находка — девочка. Но перед походом к ветеринару я присмотрелась и поняла, что, наоборот, мальчик. И полчаса — дорогу до врача — мы с Мусей обсуждали, как назвать кота. А накануне мы показали ей мультик про домовенка Кузьку, после чего ребенок ходил по дому и взывал: «Нафаня! Нафааааня!» «Нафаня» у нее звучало идеальным выражением жалобности и жалобы. Котенка было решено назвать Нафаней.  Но ветеринар сообщил, что животное все-таки женского пола. А имя-то уже есть! Так Нафаня-мальчик стала Нафаней-девочкой. Или просто Фаней. Она же — Фанька, Фантик, Фунтик, а если уважительно — кот Евфания.  Или еще как-нибудь. Ромочка, например, называет ее «Уиииииии!!!».  На данный момент наши сто грамм кота превратились в полкило и здорово прибавили в нахальстве. Красотой она по-прежнему не блещет, но почему-то каждый вечер возникает очередь из желающих держать ее на руках. Когда на коленях урчит этот шерстяной кошмар, сразу теплеет на душе. Не понимаю, почему.  Кстати, ветеринар объяснил, что она трехцветная. Как так, там же серый на сером и серым погоняет! А вот, видите, белый подшерсток? Это раз. Серый — два. А три — у нее же через всю морду бежевая полоса! Как маска-домино от лба до подбородка. Вот вам и трехцветная. Почти голландский флаг.  А сегодня я встретила возле дома здоровенную взрослую кошку — яркую и совершенно дикую. Кошка с озабоченным видом шастала по кустам, увидев меня — метнулась прочь, но продолжала оглядываться на дом. Кошка была трехцветной. Я ей сказала, что у Фани все в порядке.     Автор : Виктория Райхер;0;0;0;2;;Вячеслав Павлов;105
https://vk.com/wall-196391059_3811;https://vk.com/club196391059?w=wall-196391059_3811;https://vk.com/club196391059;https://vk.com/club196391059;2024-02-13 11:10;"КАК ВЫБРАТЬ ЩЕНКА.  Если Ваше решение не спонтанное,а уже тщательно обдуманное,все члены семьи ждут и мечтают о мохнатом пополнении,если Вам позволяет жилплощадь,Вы стабильны в заработке и у Вас есть время заниматься питомцем,то Ваша мечта должна воплотиться.  Когда Вы посещаете дом заводчика,где толпа играющих мимишных щенков кружит Вам голову,мои несколько советов,возможно,помогут Вам подойти к выбору с более холодной головой.  Если Вы не ярый девчачий или мальчуковый фанат,и пока не определились с полом,то следует знать несколько особенностей сук и кобелей. Суки(мои любимые)-внешний вид будет более скромным,мускулы менее развиты,шерсть менее пушистая.В общем и целом-это ""курочка"",если сравнивать с самцом-петухом. Характер суки(о нём я могу говорить часами)-сами себе на уме,нежные и ласковые,если хотят чего-то выпросить.Если не получается выпросить,то обязательно стырят.Хитрые,изворотливые,изобретательные.Занозы!По моим наблюдениям,что в свирепости драк ,суки гораздо опаснее(кобели дерутся до первой крови,суки до последней).На охоте более причуистые и добычливые,неутомимые,но осторожные.    Кобели-мишки,валеночки,иванушки..На их морде написано всё,что они задумали,они более честные и предсказуемые.Выглядят кобели всегда более ярко-выше ростом,мускулистее,богаче шерстью..петухи собачьего мира.На мой взгляд с кобелями проще взаимодействовать. Бытует мнение,что половая охота у сук два раза в год,а у кобелей весь год.Это не совсем так-пацаны хотят жениться,когда этого хотят дамы(обычно это весна,осень..но естественно есть отклонения у разных дамочек)..  Если Вы определились с полом,дальше Ваш путь-поиск заводчика.На этом я не буду пока заострять внимание,хотя это важный аспект. Если Вы нашли заводчика,помёт,то время знакомиться с малышами.  Придя в дом,следуйте правилам посещения,который Вам объявит заводчик(нужно помнить,что щенки могут быть не до конца вакцинированы). Когда Вы увидели всех щенков,попросите убрать мальчиков,если Вы пришли за девочкой или наоборот.Выбор станет гораздо легче. Далее следует выбрать из щенков плем-брак и стандартных щенков. Плем-брак это щенки,которые не могут учавствовать в выставках и в разведении,но это всё та же порода и от тех же производителей,просто им досталось больше или меньше определённого окраса или пятен,или не так расположен хвостик,нет семенника,либо зубы уже имеют отклонения от стандарта.В разных породах есть разные нюансы,к примеру залом хвоста,пятна,у риджбеков ридж и прочее..Вам подробно всё объяснит заводчик.Ценовая категория будет отличаться щенка пет класса от стандарта. В зависимости от Вашего желания(пет или стандарт),Ваш выбор ещё сократится. Далее понаблюдайте за оставшимися для Вашего выбора щенками.В зависимости от их графика,они могут спать,кушать,играть,ходить в туалет.У детей свой график и это нужно учитывать. Внешне щенки должны быть весёлыми,игривыми,сытыми,не трусливыми,без внешних паразитов,с ясными глазами,чистыми носами и ушами. Да!могут быть испачканными,если Вы пришли во время кормления,ведь щенки это дети,они пачкаются,когда кушают,могут и в какашку упасть в игре. Щенки пет и стандарт должны иметь одинаковый набор документов-метрику и ветеринарный паспорт(с антипаразитарными обработками и прививками),у пет-щенков будет стоять в метрике особая отметка,но эти щенки могут учавствовать в соревнованиях,а служебные породы нести службу. Так же у щенков должно быть клеймо(татушка на ушке или пузике) и чип пожеланию. От щенка не должно плохо пахнуть,если он не вывозился прям сейчас в какашке.Щенок должен кушать,весело играть,быть заинтересованным в игрушках,без поноса и рвоты.  Хочу добавить,что не каждый заводчик позволит Вам нянчиться со щенками,брать их на руки,гладить,ведь Вы можете принести на себе,своей одежде смертельный вирус.Поэтому не стОит обижаться,если для Вас выдвинут определённые правила нахождения в доме,где есть щенки.Но Вы можете пообщаться и посмотреть взрослых собак.   Надеюсь,что я хоть немного помогла с планом действий при выборе долгожданного питомца";2;0;0;7;;#ENERVATE питомник биглей и вельш корги кардиган;440
